timestamp,worker_id,country,workload_factor,latency_ms,status_code,endpoint,hour_local,minute_local
1760369088.042433,1,United States (Eastern),0.850,376.885,200,cpu,11,24
1760369088.064992,2,United States (Eastern),0.850,23.309,200,files,11,24
1760369088.3120341,0,United States (Eastern),0.850,263.692,200,cpu,11,24
1760369089.754542,1,United States (Eastern),0.850,229.288,200,cpu,11,24
1760369089.818835,2,United States (Eastern),0.850,15.507,200,files,11,24
1760369090.511303,0,United States (Eastern),0.850,268.568,200,cpu,11,24
1760369091.549084,2,United States (Eastern),0.850,18.535,200,files,11,24
1760369091.9525602,1,United States (Eastern),0.850,227.459,200,cpu,11,24
1760369092.1424792,0,United States (Eastern),0.850,196.000,200,cpu,11,24
1760369092.310304,1,Germany,0.250,6.287,200,files,17,24
1760369092.428013,2,Germany,0.250,10.112,200,files,17,24
1760369092.786902,0,Germany,0.250,8.666,200,files,17,24
1760369093.34791,2,United States (Eastern),0.850,230.555,200,cpu,11,24
1760369094.087299,0,United States (Eastern),0.850,227.522,200,cpu,11,24
1760369094.238639,1,United States (Eastern),0.850,199.354,200,cpu,11,24
1760369094.853143,2,United States (Eastern),0.850,34.302,200,files,11,24
1760369096.028841,0,United States (Eastern),0.850,199.664,200,cpu,11,24
1760369096.0298471,1,United States (Eastern),0.850,14.627,200,files,11,24
1760369214.367316,2,United States (Eastern),0.850,374.341,200,cpu,11,24
1760369214.7664618,1,Germany,0.250,12.362,200,files,17,24
1760369215.37753,0,United States (Eastern),0.850,209.721,200,cpu,11,24
1760369215.449365,0,Germany,0.250,5.836,200,files,17,24
1760369215.645586,1,United States (Eastern),0.850,217.115,200,cpu,11,24
1760369215.812636,2,Germany,0.250,4.384,200,files,17,24
1760369216.0139232,2,United States (Eastern),0.850,220.726,200,cpu,11,26
1760369217.143788,0,United States (Eastern),0.850,229.204,200,cpu,11,26
1760369217.490628,1,United States (Eastern),0.850,216.380,200,cpu,11,26
1760369218.078846,2,United States (Eastern),0.850,230.981,200,cpu,11,26
1760369219.385538,1,United States (Eastern),0.850,14.374,200,files,11,26
1760369219.485672,0,United States (Eastern),0.850,231.666,200,cpu,11,26
1760369220.09287,2,United States (Eastern),0.850,241.707,200,cpu,11,26
1760369220.6034539,1,Germany,0.250,12.713,200,files,17,26
1760369221.328268,0,United States (Eastern),0.850,229.293,200,cpu,11,26
1760369221.520423,1,United States (Eastern),0.850,196.366,200,cpu,11,26
1760369221.772471,2,United States (Eastern),0.850,204.130,200,cpu,11,27
1760369221.9298701,2,Germany,0.250,5.135,200,files,17,26
1760369222.234192,0,Germany,0.250,5.712,200,cpu,17,26
1760369223.284387,1,United States (Eastern),0.850,251.343,200,cpu,11,27
1760369223.429446,0,United States (Eastern),0.850,258.164,200,cpu,11,27
1760369223.718615,2,United States (Eastern),0.850,20.155,200,files,11,27
1760369225.454037,0,United States (Eastern),0.850,587.475,200,cpu,11,27
1760369225.7376409,1,United States (Eastern),0.850,590.497,200,cpu,11,27
1760369226.102666,2,United States (Eastern),0.850,579.899,200,cpu,11,27
1760369226.865591,1,Germany,0.250,47.623,200,files,17,27
1760369227.4888818,1,Japan,0.050,18.071,200,files,0,24
1760369227.676863,0,United States (Eastern),0.850,448.821,200,cpu,11,27
1760369227.750151,0,Germany,0.250,16.537,200,files,17,27
1760369227.8034718,2,United States (Eastern),0.850,34.359,200,files,11,27
1760369227.888526,1,United States (Eastern),0.850,466.905,200,cpu,11,27
1760369227.8887181,2,Germany,0.250,12.638,200,cpu,17,27
1760369229.709703,0,United States (Eastern),0.850,575.793,200,cpu,11,27
1760369230.091533,1,United States (Eastern),0.850,579.073,200,cpu,11,27
1760369230.238513,2,United States (Eastern),0.850,575.202,200,cpu,11,27
1760369231.7338681,0,United States (Eastern),0.850,357.296,200,cpu,11,27
