timestamp,worker_id,country,workload_factor,latency_ms,status_code,endpoint,hour_local,minute_local
1760386329.330432,1,United States (Eastern),0.050,121.599,200,files,0,0
1760386329.3313558,0,United States (Eastern),0.050,122.682,200,files,0,0
1760386329.3314822,2,United States (Eastern),0.050,122.498,200,files,0,0
1760386330.36962,1,United States (Eastern),0.050,32.469,200,files,0,30
1760386330.370532,2,United States (Eastern),0.050,28.076,200,files,0,30
1760386330.371486,0,United States (Eastern),0.050,30.377,200,files,0,30
1760386331.3830452,2,United States (Eastern),0.050,8.595,200,files,1,0
1760386331.384512,1,United States (Eastern),0.050,12.727,200,files,1,0
1760386331.385416,0,United States (Eastern),0.050,10.299,200,files,1,0
1760386332.401603,2,United States (Eastern),0.050,16.570,200,files,1,30
1760386332.402572,0,United States (Eastern),0.050,14.122,200,files,1,30
1760386332.404928,1,United States (Eastern),0.050,18.171,200,files,1,30
1760386333.41271,2,United States (Eastern),0.050,9.664,200,cpu,2,0
1760386333.417255,1,United States (Eastern),0.050,8.774,200,files,2,0
1760386333.417863,0,United States (Eastern),0.050,13.738,200,files,2,0
1760386334.430105,1,United States (Eastern),0.050,10.073,200,files,2,30
1760386334.4317272,0,United States (Eastern),0.050,10.732,200,files,2,30
1760386334.433842,2,United States (Eastern),0.050,17.573,200,files,2,30
1760386335.444885,1,United States (Eastern),0.060,11.393,200,files,3,0
1760386335.445888,2,United States (Eastern),0.060,9.743,200,files,3,0
1760386335.45044,0,United States (Eastern),0.060,16.008,200,files,3,0
1760386336.45945,2,United States (Eastern),0.080,11.137,200,files,3,30
1760386336.4620311,0,United States (Eastern),0.080,9.458,200,files,3,30
1760386336.465099,1,United States (Eastern),0.080,17.928,200,files,3,30
1760386337.478378,2,United States (Eastern),0.120,17.456,200,files,4,0
1760386337.482925,1,United States (Eastern),0.120,14.928,200,files,4,0
1760386337.48419,0,United States (Eastern),0.120,19.340,200,files,4,0
1760386338.492573,2,United States (Eastern),0.180,12.848,200,cpu,4,30
1760386338.498744,1,United States (Eastern),0.180,13.978,200,files,4,30
1760386338.499352,0,United States (Eastern),0.180,13.088,200,files,4,30
1760386339.512138,2,United States (Eastern),0.280,18.139,200,cpu,5,0
1760386339.512301,1,United States (Eastern),0.280,11.596,200,files,5,0
1760386339.519852,0,United States (Eastern),0.280,16.478,200,cpu,5,0
1760386340.526176,2,United States (Eastern),0.400,12.130,200,files,5,30
1760386340.5292192,1,United States (Eastern),0.400,13.675,200,files,5,30
1760386340.5415628,0,United States (Eastern),0.400,19.803,200,cpu,5,30
1760386341.56947,0,United States (Eastern),0.550,27.716,200,files,6,0
1760386341.5707352,1,United States (Eastern),0.550,38.611,200,files,6,0
1760386341.598818,2,United States (Eastern),0.550,71.249,200,cpu,6,0
1760386342.614423,1,United States (Eastern),0.680,41.342,200,files,6,30
1760386342.61551,0,United States (Eastern),0.680,43.167,200,files,6,30
1760386342.672399,2,United States (Eastern),0.680,73.025,200,cpu,6,30
1760386343.664788,1,United States (Eastern),0.780,48.983,200,files,7,0
1760386343.665382,0,United States (Eastern),0.780,47.561,200,files,7,0
1760386343.756937,2,United States (Eastern),0.780,83.592,200,cpu,7,0
1760386344.770605,2,United States (Eastern),0.860,12.596,200,files,7,30
1760386344.9026291,1,United States (Eastern),0.860,236.609,200,cpu,7,30
1760386344.9030468,0,United States (Eastern),0.860,236.090,200,cpu,7,30
1760386345.9218838,0,United States (Eastern),0.920,17.609,200,files,8,0
1760386346.0404391,2,United States (Eastern),0.920,269.293,200,cpu,8,0
1760386346.1423512,1,United States (Eastern),0.920,238.518,200,cpu,8,0
1760386346.96115,0,United States (Eastern),0.980,37.868,200,files,8,30
1760386347.161812,1,United States (Eastern),0.980,18.406,200,files,8,30
1760386347.323442,2,United States (Eastern),0.980,282.664,200,cpu,8,30
1760386348.003602,0,United States (Eastern),1.000,41.129,200,files,9,0
1760386348.3448808,2,United States (Eastern),1.000,20.336,200,files,9,0
1760386348.4691432,1,United States (Eastern),1.000,306.135,200,cpu,9,0
1760386349.030369,0,United States (Eastern),1.000,25.663,200,files,9,30
1760386349.6555798,2,United States (Eastern),1.000,309.402,200,cpu,9,30
1760386349.7557492,1,United States (Eastern),1.000,285.764,200,cpu,9,30
1760386350.289228,0,United States (Eastern),0.960,257.806,200,cpu,10,0
1760386350.945209,2,United States (Eastern),0.960,288.295,200,cpu,10,0
1760386351.019095,1,United States (Eastern),0.960,262.255,200,cpu,10,0
1760386351.30701,0,United States (Eastern),0.900,16.727,200,files,10,30
1760386352.038113,1,United States (Eastern),0.900,17.905,200,files,10,30
1760386352.201783,2,United States (Eastern),0.900,255.235,200,cpu,10,30
1760386352.509792,0,United States (Eastern),0.850,201.739,200,cpu,11,0
1760386353.069542,1,United States (Eastern),0.850,30.127,200,files,11,0
1760386353.4199538,2,United States (Eastern),0.850,218.077,200,cpu,11,0
1760386353.541025,0,United States (Eastern),0.780,30.180,200,files,11,30
1760386354.102401,1,United States (Eastern),0.780,31.754,200,files,11,30
1760386354.511064,2,United States (Eastern),0.780,90.009,200,cpu,11,30
1760386354.545491,0,United States (Eastern),0.250,3.419,200,files,12,0
1760386355.1067688,1,United States (Eastern),0.250,3.300,200,files,12,0
1760386355.52309,2,United States (Eastern),0.250,10.339,200,files,12,0
1760386355.554378,0,United States (Eastern),0.220,7.823,200,cpu,12,30
1760386356.1120262,1,United States (Eastern),0.220,4.169,200,files,12,30
1760386356.5353951,2,United States (Eastern),0.220,10.392,200,cpu,12,30
1760386356.592385,0,United States (Eastern),0.700,36.749,200,files,13,0
1760386357.1540291,1,United States (Eastern),0.700,40.699,200,files,13,0
1760386357.615034,2,United States (Eastern),0.700,78.560,200,cpu,13,0
1760386357.664875,0,United States (Eastern),0.750,71.429,200,cpu,13,30
1760386358.2280838,1,United States (Eastern),0.750,72.975,200,cpu,13,30
1760386358.710552,2,United States (Eastern),0.750,94.403,200,cpu,13,30
1760386358.7408159,0,United States (Eastern),0.750,74.890,200,cpu,14,0
1760386359.3031511,1,United States (Eastern),0.750,74.008,200,cpu,14,0
1760386359.734965,2,United States (Eastern),0.750,23.352,200,files,14,0
1760386359.802509,0,United States (Eastern),0.700,60.916,200,cpu,14,30
1760386360.3702972,1,United States (Eastern),0.700,66.294,200,cpu,14,30
1760386360.769943,2,United States (Eastern),0.700,34.310,200,files,14,30
1760386360.8591518,0,United States (Eastern),0.650,55.983,200,cpu,15,0
1760386361.39089,1,United States (Eastern),0.650,20.424,200,files,15,0
1760386361.826777,2,United States (Eastern),0.650,55.781,200,cpu,15,0
1760386361.9094222,0,United States (Eastern),0.600,49.202,200,cpu,15,30
1760386362.424167,1,United States (Eastern),0.600,32.721,200,files,15,30
1760386362.841686,2,United States (Eastern),0.600,13.864,200,files,15,30
1760386362.921692,0,United States (Eastern),0.550,11.219,200,files,16,0
1760386363.4505239,1,United States (Eastern),0.550,25.092,200,files,16,0
1760386363.858005,2,United States (Eastern),0.550,15.170,200,files,16,0
1760386363.931859,0,United States (Eastern),0.480,9.121,200,cpu,16,30
1760386364.473845,1,United States (Eastern),0.480,21.963,200,cpu,16,30
1760386364.878391,2,United States (Eastern),0.480,20.036,200,cpu,16,30
1760386364.9384,0,United States (Eastern),0.400,5.422,200,files,17,0
1760386365.4791958,1,United States (Eastern),0.400,4.203,200,files,17,0
1760386365.893567,2,United States (Eastern),0.400,14.342,200,cpu,17,0
1760386365.944934,0,United States (Eastern),0.340,5.409,200,files,17,30
1760386366.482641,1,United States (Eastern),0.340,2.384,200,files,17,30
1760386366.89975,2,United States (Eastern),0.340,5.089,200,files,17,30
1760386366.9543839,0,United States (Eastern),0.280,8.233,200,files,18,0
1760386367.488929,1,United States (Eastern),0.280,5.201,200,files,18,0
1760386367.905016,2,United States (Eastern),0.280,4.452,200,files,18,0
1760386367.963246,0,United States (Eastern),0.240,7.575,200,files,18,30
