timestamp,worker_id,country,workload_factor,latency_ms,status_code,endpoint,hour_local,minute_local
1760388019.8098931,1,Japan,0.050,121.990,200,files,0,0
1760388019.811539,0,Japan,0.050,123.787,200,files,0,0
1760388019.812117,2,Japan,0.050,124.069,200,files,0,0
1760388020.82381,0,Japan,0.050,11.235,200,files,0,30
1760388020.824588,1,Japan,0.050,13.801,200,files,0,30
1760388020.825994,2,Japan,0.050,12.035,200,files,0,30
1760388021.8358011,2,Japan,0.050,8.927,200,files,1,0
1760388021.836429,0,Japan,0.050,10.718,200,files,1,0
1760388021.839863,1,Japan,0.050,13.680,200,files,1,0
1760388022.848665,2,Japan,0.050,10.171,200,cpu,1,30
1760388022.854244,0,Japan,0.050,15.146,200,files,1,30
1760388022.856163,1,Japan,0.050,14.909,200,files,1,30
1760388023.8642912,2,Japan,0.050,14.893,200,files,2,0
1760388023.87027,1,Japan,0.050,9.770,200,files,2,0
1760388023.87186,0,Japan,0.050,13.871,200,files,2,0
1760388024.877527,2,Japan,0.050,10.447,200,files,2,30
1760388024.880573,1,Japan,0.050,7.586,200,files,2,30
1760388024.884757,0,Japan,0.050,11.117,200,files,2,30
1760388025.8936782,2,Japan,0.060,14.056,200,files,3,0
1760388025.8968651,0,Japan,0.060,9.915,200,files,3,0
1760388025.897726,1,Japan,0.060,14.085,200,files,3,0
1760388026.90935,2,Japan,0.080,14.287,200,files,3,30
1760388026.91119,1,Japan,0.080,10.803,200,files,3,30
1760388026.911965,0,Japan,0.080,12.842,200,cpu,3,30
1760388027.931168,2,Japan,0.120,19.075,200,cpu,4,0
1760388027.9326148,0,Japan,0.120,18.840,200,files,4,0
1760388027.933451,1,Japan,0.120,20.074,200,files,4,0
1760388028.9434528,1,Japan,0.180,8.175,200,files,4,30
1760388028.944888,0,Japan,0.180,10.603,200,files,4,30
1760388028.946698,2,Japan,0.180,13.306,200,files,4,30
1760388029.961206,1,Japan,0.280,15.546,200,files,5,0
1760388029.962681,0,Japan,0.280,15.222,200,cpu,5,0
