timestamp,worker_id,country,workload_factor,latency_ms,status_code,endpoint,hour_local,minute_local
1760388144.394055,2,France,0.050,124.057,200,files,0,0
1760388144.3960671,0,France,0.050,126.231,200,files,0,0
1760388144.396235,1,France,0.050,126.318,200,files,0,0
1760388145.404031,2,France,0.050,8.829,200,files,0,30
1760388145.416845,1,France,0.050,19.212,200,files,0,30
1760388145.418187,0,France,0.050,21.052,200,files,0,30
1760388146.415575,2,France,0.050,10.324,200,files,1,0
1760388146.4302158,1,France,0.050,11.817,200,files,1,0
1760388146.43088,0,France,0.050,10.883,200,files,1,0
1760388147.443428,2,France,0.050,24.714,200,files,1,30
1760388147.445365,1,France,0.050,11.332,200,files,1,30
1760388147.447314,0,France,0.050,12.871,200,files,1,30
1760388148.457207,1,France,0.050,8.494,200,files,2,0
1760388148.461183,2,France,0.050,16.297,200,files,2,0
1760388148.463673,0,France,0.050,11.654,200,files,2,0
1760388149.470551,2,France,0.050,6.990,200,cpu,2,30
1760388149.471769,0,France,0.050,6.733,200,files,2,30
1760388149.475441,1,France,0.050,15.156,200,files,2,30
1760388150.486752,1,France,0.060,8.876,200,files,3,0
1760388150.492773,2,France,0.060,18.889,200,files,3,0
1760388150.4942908,0,France,0.060,20.030,200,files,3,0
1760388151.5003881,1,France,0.080,12.330,200,files,3,30
1760388151.504881,2,France,0.080,10.584,200,cpu,3,30
1760388151.507712,0,France,0.080,10.499,200,files,3,30
1760388152.5198479,0,France,0.120,10.403,200,files,4,0
1760388152.52203,2,France,0.120,14.330,200,files,4,0
1760388152.524571,1,France,0.120,21.775,200,files,4,0
1760388153.535678,2,France,0.180,11.617,200,files,4,30
1760388153.5422442,1,France,0.180,13.179,200,files,4,30
1760388153.543164,0,France,0.180,21.047,200,files,4,30
1760388154.5513248,2,France,0.320,13.995,200,files,5,0
1760388154.55473,0,France,0.320,9.779,200,files,5,0
1760388154.561743,1,France,0.320,17.950,200,files,5,0
1760388155.5685298,2,France,0.450,15.762,200,files,5,30
1760388155.57358,1,France,0.450,8.967,200,files,5,30
1760388155.583327,0,France,0.450,26.270,200,files,5,30
1760388156.620945,1,France,0.600,44.903,200,files,6,0
1760388156.649193,2,France,0.600,79.274,200,cpu,6,0
1760388156.655329,0,France,0.600,70.836,200,cpu,6,0
1760388157.679704,2,France,0.700,29.997,200,files,6,30
1760388157.711762,1,France,0.700,88.320,200,cpu,6,30
1760388157.732289,0,France,0.700,76.181,200,cpu,6,30
1760388158.80658,2,France,0.800,126.447,200,cpu,7,0
1760388158.811528,1,France,0.800,99.254,200,cpu,7,0
1760388158.8279371,0,France,0.800,94.833,200,cpu,7,0
