ts,cpu_percent,rss_mb,power_w,energy_j_total
1760380521.70642,0.70,45.36,0.000,0.000000
1760380522.71045,0.10,45.36,0.000,0.000000
1760380523.708438,0.10,45.34,0.000,0.000000
1760380524.710451,0.10,45.38,0.000,0.000000
1760380525.710458,75.50,158.88,0.000,0.000000
1760380526.706733,4.00,159.02,0.000,0.000000
1760380527.7055008,14.20,159.61,0.000,0.000000
1760380528.707864,20.40,162.22,0.000,0.000000
1760380529.708538,5.60,162.88,0.000,0.000000
1760380530.708113,14.80,163.47,0.000,0.000000
1760380531.710189,6.70,163.88,0.000,0.000000
1760380532.706323,12.00,164.83,0.000,0.000000
1760380533.710459,5.20,165.27,0.000,0.000000
1760380534.710459,15.70,165.53,0.000,0.000000
1760380535.705863,0.30,165.53,0.000,0.000000
1760380536.7095912,10.30,165.70,0.000,0.000000
1760380537.709986,13.20,166.17,0.000,0.000000
1760380538.708809,3.60,166.34,0.000,0.000000
1760380539.7083352,13.40,166.75,0.000,0.000000
1760380540.706003,4.70,166.97,0.000,0.000000
1760380541.710468,19.10,167.23,0.000,0.000000
1760380542.709385,2.90,167.42,0.000,0.000000
1760380543.708691,17.20,167.73,0.000,0.000000
1760380544.708289,10.30,167.94,0.000,0.000000
1760380545.7083101,16.70,162.47,0.000,0.000000
1760380546.708731,4.80,162.70,0.000,0.000000
1760380547.706316,6.10,163.00,0.000,0.000000
1760380548.710486,10.60,163.25,0.000,0.000000
1760380549.7105129,18.90,163.33,0.000,0.000000
1760380550.7092311,7.10,163.45,0.000,0.000000
1760380551.708781,9.80,161.56,0.000,0.000000
1760380552.710475,12.10,159.36,0.000,0.000000
1760380553.709258,9.00,156.92,0.000,0.000000
1760380554.710473,9.70,157.09,0.000,0.000000
1760380555.70719,12.70,158.19,0.000,0.000000
1760380556.710388,4.90,158.45,0.000,0.000000
1760380557.708713,6.80,159.00,0.000,0.000000
1760380558.707351,13.90,159.31,0.000,0.000000
1760380559.70736,18.30,162.14,0.000,0.000000
1760380560.708776,11.00,162.31,0.000,0.000000
1760380561.709402,10.40,162.47,0.000,0.000000
1760380562.710473,14.50,162.88,0.000,0.000000
1760380563.706444,0.20,159.75,0.000,0.000000
1760380564.710479,25.70,159.84,0.000,0.000000
1760380565.710119,0.30,158.66,0.000,0.000000
1760380566.707797,18.80,159.50,0.000,0.000000
1760380567.71047,0.30,159.50,0.000,0.000000
1760380568.706902,16.60,159.86,0.000,0.000000
1760380569.710315,9.60,160.02,0.000,0.000000
1760380570.70958,8.60,157.83,0.000,0.000000
1760380571.710068,5.30,156.81,0.000,0.000000
1760380572.710491,5.80,154.66,0.000,0.000000
1760380573.7103438,14.00,155.11,0.000,0.000000
1760380574.710485,8.30,156.20,0.000,0.000000
1760380575.709415,22.70,163.41,0.000,0.000000
1760380576.710326,11.90,165.97,0.000,0.000000
1760380577.710423,1.70,166.08,0.000,0.000000
1760380578.707562,14.20,166.48,0.000,0.000000
1760380579.710486,7.90,166.73,0.000,0.000000
1760380580.7104661,5.10,166.95,0.000,0.000000
