ts,cpu_percent,rss_mb,power_w,energy_j_total
1761073640.9151738,0.10,83.81,0.000,0.000000
1761073641.915123,0.10,83.81,0.000,0.000000
1761073642.916245,0.00,83.81,0.000,0.000000
1761073643.915241,85.10,182.22,0.000,0.000000
1761073644.911385,16.10,183.58,0.000,0.000000
1761073645.9155478,11.50,184.75,0.000,0.000000
1761073646.912914,10.20,185.89,0.000,0.000000
1761073647.911798,9.20,187.00,0.000,0.000000
1761073648.912239,10.80,188.06,0.000,0.000000
1761073649.9138958,13.70,189.44,0.000,0.000000
1761073650.91624,11.00,190.67,0.000,0.000000
1761073651.91624,27.60,193.05,0.000,0.000000
1761073652.91624,39.40,200.59,0.000,0.000000
1761073653.912962,84.80,202.03,0.000,0.000000
1761073654.916237,125.20,202.81,0.000,0.000000
1761073655.916377,89.50,203.02,0.000,0.000000
1761073656.916011,118.80,203.16,0.000,0.000000
1761073657.916234,307.50,197.91,0.000,0.000000
1761073658.916242,377.30,199.56,0.000,0.000000
1761073659.915683,291.20,200.69,0.000,0.000000
1761073660.911999,153.80,199.34,0.000,0.000000
1761073661.915782,522.20,199.80,0.000,0.000000
1761073662.916744,424.60,201.11,0.000,0.000000
1761073663.916141,136.10,201.47,0.000,0.000000
1761073664.9162428,577.60,206.75,0.000,0.000000
1761073665.916239,393.40,207.83,0.000,0.000000
1761073666.916249,154.50,207.66,0.000,0.000000
1761073667.916241,490.20,207.14,0.000,0.000000
1761073668.916236,414.20,207.69,0.000,0.000000
1761073669.9162471,92.70,207.72,0.000,0.000000
1761073670.911385,343.40,212.55,0.000,0.000000
1761073671.911326,323.60,213.47,0.000,0.000000
1761073672.9162428,35.20,213.56,0.000,0.000000
1761073673.915915,31.90,213.62,0.000,0.000000
1761073674.916242,243.60,213.69,0.000,0.000000
1761073675.916237,176.60,213.77,0.000,0.000000
1761073676.9148202,195.80,214.03,0.000,0.000000
1761073677.916238,290.60,214.98,0.000,0.000000
1761073678.9131289,220.10,215.20,0.000,0.000000
1761073679.9116302,215.00,216.58,0.000,0.000000
1761073680.9162471,238.00,218.62,0.000,0.000000
1761073681.911446,172.10,219.00,0.000,0.000000
1761073682.914253,102.20,219.12,0.000,0.000000
1761073683.9157388,98.90,219.19,0.000,0.000000
1761073684.9162428,98.10,219.19,0.000,0.000000
1761073685.9162529,83.90,219.39,0.000,0.000000
1761073686.916239,63.20,219.41,0.000,0.000000
1761073687.915244,44.70,219.41,0.000,0.000000
