ts,cpu_percent,rss_mb,power_w,energy_j_total
1761073747.2387898,0.10,263.06,0.000,0.000000
1761073748.2364118,0.00,263.06,0.000,0.000000
1761073749.241387,0.00,206.69,0.000,0.000000
1761073750.241384,74.60,276.83,0.000,0.000000
1761073751.241387,13.40,277.06,0.000,0.000000
1761073752.239337,28.50,280.06,0.000,0.000000
1761073753.237408,16.30,280.30,0.000,0.000000
1761073754.2373362,14.20,280.73,0.000,0.000000
1761073755.2376802,9.60,281.06,0.000,0.000000
1761073756.241384,11.40,281.53,0.000,0.000000
1761073757.24139,15.40,282.09,0.000,0.000000
1761073758.238101,17.20,282.83,0.000,0.000000
1761073759.24139,34.10,283.80,0.000,0.000000
1761073760.238152,75.80,285.69,0.000,0.000000
1761073761.239142,133.20,286.36,0.000,0.000000
1761073762.241371,94.30,286.50,0.000,0.000000
1761073763.240899,117.00,287.48,0.000,0.000000
1761073764.2413828,302.20,288.69,0.000,0.000000
1761073765.2413921,399.00,289.12,0.000,0.000000
1761073766.242103,266.90,289.53,0.000,0.000000
1761073767.241398,189.30,289.58,0.000,0.000000
1761073768.2413921,512.40,290.06,0.000,0.000000
1761073769.2413921,404.70,290.16,0.000,0.000000
1761073770.237406,195.40,290.22,0.000,0.000000
1761073771.240621,531.80,292.19,0.000,0.000000
1761073772.2413938,413.60,292.70,0.000,0.000000
1761073773.241396,175.10,293.03,0.000,0.000000
1761073774.2375848,411.90,293.39,0.000,0.000000
1761073775.237791,419.90,294.12,0.000,0.000000
1761073776.241924,192.60,294.97,0.000,0.000000
1761073777.241119,238.30,268.77,0.000,0.000000
1761073778.241382,261.90,267.52,0.000,0.000000
1761073779.241384,33.70,268.03,0.000,0.000000
1761073780.237658,29.60,268.56,0.000,0.000000
1761073781.241387,247.40,269.39,0.000,0.000000
1761073782.241291,220.60,270.17,0.000,0.000000
1761073783.241384,270.20,271.45,0.000,0.000000
1761073784.241386,185.70,272.16,0.000,0.000000
1761073785.237329,206.90,272.92,0.000,0.000000
1761073786.241395,193.70,273.89,0.000,0.000000
1761073787.241385,259.90,274.73,0.000,0.000000
1761073788.24139,199.80,276.86,0.000,0.000000
1761073789.237726,108.70,279.06,0.000,0.000000
1761073790.240861,83.60,280.69,0.000,0.000000
1761073791.240844,100.50,282.72,0.000,0.000000
1761073792.241388,80.60,284.59,0.000,0.000000
1761073793.2413812,61.50,286.52,0.000,0.000000
1761073794.240594,43.40,288.38,0.000,0.000000
