timestamp,worker_id,country,workload_factor,latency_ms,status_code,endpoint,hour_local,minute_local
1761013204.545745,1,Germany,0.050,153.602,200,files,0,0
1761013204.5500941,0,Germany,0.050,164.446,200,files,0,0
1761013204.550956,2,Germany,0.050,158.671,200,files,0,0
1761013205.563655,1,Germany,0.050,16.837,200,files,0,30
1761013205.569531,2,Germany,0.050,14.983,200,files,0,30
1761013205.575231,0,Germany,0.050,22.710,200,files,0,30
1761013206.5814059,1,Germany,0.050,17.422,200,files,1,0
1761013206.587392,2,Germany,0.050,15.944,200,files,1,0
1761013206.591201,0,Germany,0.050,12.472,200,files,1,0
1761013207.5871859,1,Germany,0.050,5.666,200,files,1,30
1761013207.595857,2,Germany,0.050,8.168,200,files,1,30
1761013207.6015518,0,Germany,0.050,9.225,200,files,1,30
1761013208.595283,1,Germany,0.050,7.316,200,files,2,0
1761013208.603829,2,Germany,0.050,7.737,200,files,2,0
1761013208.611373,0,Germany,0.050,8.364,200,files,2,0
1761013209.601572,1,Germany,0.050,5.955,200,files,2,30
1761013209.609657,2,Germany,0.050,5.689,200,files,2,30
1761013209.6165051,0,Germany,0.050,4.905,200,files,2,30
1761013210.609771,1,Germany,0.060,7.370,200,files,3,0
1761013210.616684,2,Germany,0.060,6.718,200,files,3,0
1761013210.621873,0,Germany,0.060,5.119,200,files,3,0
1761013211.622026,1,Germany,0.080,12.101,200,files,3,30
1761013211.6366851,0,Germany,0.080,14.359,200,files,3,30
1761013211.637911,2,Germany,0.080,17.530,200,files,3,30
1761013212.644894,1,Germany,0.120,22.107,200,files,4,0
1761013212.664623,0,Germany,0.120,24.313,200,files,4,0
1761013212.67274,2,Germany,0.120,30.342,200,files,4,0
1761013213.683725,1,Germany,0.180,37.682,200,files,4,30
1761013213.723628,0,Germany,0.180,55.537,200,files,4,30
1761013213.729148,2,Germany,0.180,53.979,200,files,4,30
1761013214.797908,1,Germany,0.350,113.009,200,files,5,0
1761013214.844813,0,Germany,0.350,119.858,200,files,5,0
1761013214.8734121,2,Germany,0.350,136.247,200,files,5,0
1761013216.041107,1,Germany,0.500,243.069,200,files,5,30
1761013216.095383,0,Germany,0.500,249.115,200,cpu,5,30
1761013216.1119099,2,Germany,0.500,223.389,200,cpu,5,30
1761013217.447273,1,Germany,0.650,404.809,200,cpu,6,0
1761013217.454006,2,Germany,0.650,331.028,200,files,6,0
1761013217.4734778,0,Germany,0.650,355.563,200,cpu,6,0
1761013218.91858,1,Germany,0.750,469.185,200,cpu,6,30
1761013218.928711,0,Germany,0.750,452.634,200,files,6,30
1761013218.9379709,2,Germany,0.750,482.666,200,cpu,6,30
1761013220.4750452,1,Germany,0.850,556.236,200,cpu,7,0
1761013220.492107,2,Germany,0.850,550.118,200,cpu,7,0
1761013220.504259,0,Germany,0.850,574.391,200,cpu,7,0
1761013222.0525281,0,Germany,0.900,546.246,200,cpu,7,30
1761013222.066016,2,Germany,0.900,572.765,200,cpu,7,30
1761013222.125631,1,Germany,0.900,649.438,200,cpu,7,30
1761013223.860769,0,Germany,0.950,808.076,200,cpu,8,0
1761013223.954206,2,Germany,0.950,884.097,200,cpu,8,0
1761013223.981183,1,Germany,0.950,850.822,200,cpu,8,0
1761013225.5418591,0,Germany,1.000,678.929,200,cpu,8,30
1761013225.994186,2,Germany,1.000,1038.921,200,cpu,8,30
1761013226.028617,1,Germany,1.000,1046.270,200,cpu,8,30
1761013227.011425,0,Germany,1.000,468.461,200,cpu,9,0
1761013227.703336,2,Germany,1.000,708.048,200,cpu,9,0
1761013227.812557,1,Germany,1.000,782.804,200,cpu,9,0
1761013228.444105,0,Germany,0.950,431.497,200,cpu,9,30
1761013229.1250932,2,Germany,0.950,420.649,200,cpu,9,30
1761013229.2539158,1,Germany,0.950,440.272,200,cpu,9,30
1761013230.012436,0,Germany,0.900,567.022,200,cpu,10,0
1761013230.5102699,2,Germany,0.900,384.044,200,cpu,10,0
1761013230.664195,1,Germany,0.900,409.090,200,files,10,0
1761013231.663085,0,Germany,0.850,649.537,200,cpu,10,30
1761013232.0344992,2,Germany,0.850,523.064,200,cpu,10,30
1761013232.104361,1,Germany,0.850,439.935,200,cpu,10,30
1761013232.9502342,0,Germany,0.800,286.067,200,cpu,11,0
1761013233.667893,2,Germany,0.800,632.198,200,cpu,11,0
1761013233.6703732,1,Germany,0.800,564.857,200,cpu,11,0
1761013234.178345,0,Germany,0.700,226.986,200,cpu,11,30
1761013234.981285,1,Germany,0.700,310.725,200,cpu,11,30
1761013234.999004,2,Germany,0.700,330.008,200,files,11,30
1761013235.214685,0,Germany,0.200,35.195,200,files,12,0
1761013236.001798,1,Germany,0.200,20.100,200,files,12,0
1761013236.0202188,2,Germany,0.200,20.598,200,files,12,0
1761013236.2354748,0,Germany,0.200,19.690,200,files,12,30
1761013237.021364,1,Germany,0.200,19.227,200,files,12,30
1761013237.040802,2,Germany,0.200,20.539,200,files,12,30
1761013237.4749289,0,Germany,0.700,238.358,200,files,13,0
1761013238.3013802,1,Germany,0.700,278.914,200,cpu,13,0
1761013238.365886,2,Germany,0.700,324.002,200,files,13,0
1761013238.776025,0,Germany,0.700,299.935,200,cpu,13,30
1761013239.582338,1,Germany,0.700,279.857,200,cpu,13,30
1761013239.629178,2,Germany,0.700,262.097,200,cpu,13,30
1761013240.0702999,0,Germany,0.700,293.098,200,cpu,14,0
1761013240.840391,1,Germany,0.700,257.950,200,cpu,14,0
1761013240.874037,2,Germany,0.700,244.708,200,cpu,14,0
1761013241.268574,0,Germany,0.650,197.159,200,cpu,14,30
1761013242.037708,1,Germany,0.650,197.130,200,cpu,14,30
1761013242.0723479,2,Germany,0.650,198.247,200,cpu,14,30
1761013242.441181,0,Germany,0.600,171.529,200,files,15,0
1761013243.2989,1,Germany,0.600,260.041,200,cpu,15,0
1761013243.3260841,2,Germany,0.600,252.764,200,files,15,0
1761013243.582573,0,Germany,0.550,141.340,200,cpu,15,30
1761013244.495919,1,Germany,0.550,195.846,200,cpu,15,30
1761013244.525075,2,Germany,0.550,197.804,200,cpu,15,30
1761013244.731906,0,Germany,0.450,149.205,200,cpu,16,0
1761013245.5959191,1,Germany,0.450,98.928,200,files,16,0
1761013245.623782,2,Germany,0.450,98.644,200,cpu,16,0
1761013245.794692,0,Germany,0.350,62.707,200,files,16,30
1761013246.661682,1,Germany,0.350,64.676,200,cpu,16,30
1761013246.6845,2,Germany,0.350,59.622,200,files,16,30
1761013246.8279529,0,Germany,0.250,32.118,200,files,17,0
1761013247.693515,1,Germany,0.250,30.726,200,files,17,0
1761013247.7151859,2,Germany,0.250,30.461,200,files,17,0
1761013247.848633,0,Germany,0.200,19.594,200,files,17,30
1761013248.7143419,1,Germany,0.200,19.994,200,files,17,30
1761013248.736227,2,Germany,0.200,20.854,200,files,17,30
1761013248.8629131,0,Germany,0.150,13.203,200,files,18,0
1761013249.72877,1,Germany,0.150,13.336,200,files,18,0
1761013249.749726,2,Germany,0.150,12.457,200,files,18,0
1761013249.881365,0,Germany,0.120,18.348,200,files,18,30
1761013250.738747,1,Germany,0.120,8.877,200,files,18,30
1761013250.7592561,2,Germany,0.120,8.457,200,files,18,30
1761013250.890303,0,Germany,0.100,7.838,200,files,19,0
1761013251.747036,1,Germany,0.100,7.196,200,files,19,0
1761013251.766763,2,Germany,0.100,6.455,200,files,19,0
1761013251.8976068,0,Germany,0.080,6.220,200,files,19,30
1761013252.7537978,1,Germany,0.080,5.681,200,files,19,30
1761013252.773074,2,Germany,0.080,5.255,200,files,19,30
1761013252.904926,0,Germany,0.060,6.237,200,files,20,0
