ts,cpu_percent,rss_mb,power_w,energy_j_total
1761082940.7859578,0.10,110.06,0.000,0.000000
1761082941.782082,0.10,107.17,0.000,0.000000
1761082942.786768,0.00,107.17,0.000,0.000000
1761082943.786995,81.70,174.23,0.000,0.000000
1761082944.786297,17.50,177.22,0.000,0.000000
1761082945.782944,15.90,177.56,0.000,0.000000
1761082946.785774,15.50,180.39,0.000,0.000000
1761082947.787008,14.20,183.36,0.000,0.000000
1761082948.7862558,15.90,187.28,0.000,0.000000
1761082949.786999,18.60,195.34,0.000,0.000000
1761082950.786994,32.50,199.19,0.000,0.000000
1761082951.787002,45.40,204.03,0.000,0.000000
1761082952.785989,80.00,210.11,0.000,0.000000
1761082953.786772,186.00,221.34,0.000,0.000000
1761082954.788853,129.90,222.33,0.000,0.000000
1761082955.785553,343.60,224.66,0.000,0.000000
1761082956.786997,798.70,220.61,0.000,0.000000
1761082957.786922,485.10,205.64,0.000,0.000000
1761082958.786837,944.90,204.91,0.000,0.000000
1761082959.786093,692.60,206.38,0.000,0.000000
1761082960.78639,1024.80,207.16,0.000,0.000000
1761082961.78386,699.30,206.17,0.000,0.000000
1761082962.786998,954.30,208.73,0.000,0.000000
1761082963.787004,947.80,158.70,0.000,0.000000
1761082964.785433,913.50,160.78,0.000,0.000000
1761082965.787009,958.10,162.53,0.000,0.000000
1761082966.785781,926.50,161.53,0.000,0.000000
1761082967.785156,831.20,165.09,0.000,0.000000
1761082968.785692,934.60,157.23,0.000,0.000000
1761082969.787005,892.50,158.22,0.000,0.000000
1761082970.787007,868.40,160.20,0.000,0.000000
1761082971.78701,968.10,192.98,0.000,0.000000
1761082972.7840252,973.90,193.80,0.000,0.000000
1761082973.787006,936.30,197.89,0.000,0.000000
1761082974.783475,820.10,201.72,0.000,0.000000
1761082975.7867048,1006.90,203.44,0.000,0.000000
1761082976.787006,773.50,204.08,0.000,0.000000
1761082977.785556,862.00,175.45,0.000,0.000000
1761082978.782161,958.70,175.73,0.000,0.000000
1761082979.782807,635.20,178.14,0.000,0.000000
1761082980.785412,908.90,183.56,0.000,0.000000
1761082981.783047,758.00,184.33,0.000,0.000000
1761082982.7870002,579.50,178.86,0.000,0.000000
1761082983.78587,262.30,174.66,0.000,0.000000
1761082984.787027,372.00,177.27,0.000,0.000000
1761082985.7884538,597.30,179.58,0.000,0.000000
1761082986.7828789,959.90,181.34,0.000,0.000000
1761082987.791164,805.60,182.47,0.000,0.000000
