timestamp,worker_id,country,workload_factor,latency_ms,status_code,endpoint,hour_local,minute_local
1761083138.3527439,5,France,0.050,188.822,200,files,0,0
1761083138.360301,3,France,0.050,196.510,200,files,0,0
1761083138.361349,4,France,0.050,197.491,200,files,0,0
1761083138.36165,1,France,0.050,197.998,200,files,0,0
1761083138.362145,0,France,0.050,198.559,200,files,0,0
1761083138.3627808,2,France,0.050,199.063,200,files,0,0
1761083138.3644779,7,France,0.050,200.422,200,files,0,0
1761083138.365242,6,France,0.050,201.252,200,cpu,0,0
1761083139.374449,5,France,0.050,21.069,200,files,0,30
1761083139.3779478,4,France,0.050,14.195,200,files,0,30
1761083139.383574,0,France,0.050,18.783,200,files,0,30
1761083139.387264,7,France,0.050,17.870,200,files,0,30
1761083139.388438,2,France,0.050,21.909,200,files,0,30
1761083139.39605,6,France,0.050,25.392,200,files,0,30
1761083139.404614,3,France,0.050,42.704,200,files,0,30
1761083139.408677,1,France,0.050,44.576,200,files,0,30
1761083140.378974,5,France,0.050,4.364,200,files,1,0
1761083140.381985,4,France,0.050,3.958,200,files,1,0
1761083140.388407,0,France,0.050,4.699,200,files,1,0
1761083140.391786,7,France,0.050,4.497,200,files,1,0
1761083140.3926249,2,France,0.050,4.077,200,files,1,0
1761083140.4006631,6,France,0.050,4.353,200,files,1,0
1761083140.413436,3,France,0.050,8.503,200,cpu,1,0
1761083140.4143438,1,France,0.050,5.220,200,files,1,0
1761083141.3840508,5,France,0.050,4.947,200,files,1,30
1761083141.386749,4,France,0.050,4.504,200,files,1,30
1761083141.3930361,0,France,0.050,4.463,200,files,1,30
1761083141.395322,7,France,0.050,3.452,200,files,1,30
1761083141.396789,2,France,0.050,3.676,200,files,1,30
1761083141.405227,6,France,0.050,4.052,200,files,1,30
1761083141.4202318,3,France,0.050,6.157,200,files,1,30
1761083141.420893,1,France,0.050,5.948,200,files,1,30
1761083142.38893,5,France,0.050,4.481,200,files,2,0
1761083142.3911328,4,France,0.050,3.846,200,files,2,0
1761083142.397714,0,France,0.050,4.624,200,files,2,0
1761083142.39937,7,France,0.050,3.879,200,files,2,0
1761083142.401079,2,France,0.050,4.274,200,files,2,0
1761083142.409491,6,France,0.050,4.242,200,files,2,0
1761083142.4244921,3,France,0.050,4.206,200,files,2,0
1761083142.426692,1,France,0.050,5.146,200,files,2,0
1761083143.397543,5,France,0.050,7.923,200,files,2,30
1761083143.3982441,4,France,0.050,6.929,200,files,2,30
1761083143.402302,0,France,0.050,4.037,200,files,2,30
1761083143.402817,7,France,0.050,3.420,200,files,2,30
1761083143.404792,2,France,0.050,3.495,200,files,2,30
1761083143.413546,6,France,0.050,3.963,200,files,2,30
1761083143.429077,3,France,0.050,4.386,200,files,2,30
1761083143.430916,1,France,0.050,4.171,200,files,2,30
1761083144.4077451,5,France,0.060,8.968,200,files,3,0
1761083144.411935,4,France,0.060,12.205,200,files,3,0
1761083144.413771,7,France,0.060,10.441,200,files,3,0
1761083144.4142091,0,France,0.060,11.439,200,files,3,0
1761083144.414567,2,France,0.060,9.471,200,files,3,0
1761083144.4204412,6,France,0.060,5.635,200,files,3,0
1761083144.433082,3,France,0.060,3.828,200,files,3,0
1761083144.43539,1,France,0.060,4.410,200,files,3,0
1761083145.414155,5,France,0.080,5.953,200,files,3,30
1761083145.4192052,4,France,0.080,7.226,200,files,3,30
1761083145.4262521,7,France,0.080,11.633,200,files,3,30
1761083145.429158,2,France,0.080,13.767,200,files,3,30
1761083145.4312818,0,France,0.080,16.404,200,files,3,30
1761083145.442086,6,France,0.080,21.095,200,files,3,30
1761083145.447616,3,France,0.080,10.705,200,files,3,30
1761083145.451225,1,France,0.080,12.686,200,files,3,30
1761083146.434454,5,France,0.120,19.289,200,files,4,0
1761083146.4508932,2,France,0.120,19.823,200,cpu,4,0
1761083146.4522932,4,France,0.120,32.100,200,files,4,0
1761083146.4550369,7,France,0.120,25.886,200,files,4,0
1761083146.455643,0,France,0.120,22.163,200,files,4,0
1761083146.466771,3,France,0.120,15.738,200,files,4,0
1761083146.4766731,1,France,0.120,23.486,200,files,4,0
1761083146.478503,6,France,0.120,32.730,200,files,4,0
1761083147.494001,4,France,0.180,41.547,200,cpu,4,30
1761083147.512466,5,France,0.180,77.600,200,files,4,30
1761083147.5191638,7,France,0.180,63.696,200,files,4,30
1761083147.519677,2,France,0.180,68.661,200,files,4,30
1761083147.5234208,0,France,0.180,67.202,200,files,4,30
1761083147.558167,1,France,0.180,77.856,200,cpu,4,30
1761083147.564965,3,France,0.180,95.705,200,files,4,30
1761083147.5658722,6,France,0.180,81.706,200,files,4,30
1761083148.5832572,5,France,0.320,70.498,200,cpu,5,0
1761083148.6171808,7,France,0.320,90.501,200,cpu,5,0
1761083148.652438,4,France,0.320,158.412,200,files,5,0
1761083148.680964,2,France,0.320,146.870,200,files,5,0
1761083148.68824,0,France,0.320,152.749,200,cpu,5,0
1761083148.710886,6,France,0.320,132.904,200,files,5,0
1761083148.728072,1,France,0.320,162.202,200,files,5,0
1761083148.73992,3,France,0.320,162.816,200,files,5,0
1761083149.680908,5,France,0.450,96.575,200,cpu,5,30
1761083149.834639,2,France,0.450,147.204,200,cpu,5,30
1761083149.867438,6,France,0.450,141.211,200,cpu,5,30
1761083149.895,7,France,0.450,277.780,200,files,5,30
1761083149.9355168,4,France,0.450,282.702,200,files,5,30
1761083149.942208,3,France,0.450,195.139,200,cpu,5,30
1761083149.977469,0,France,0.450,286.322,200,files,5,30
