timestamp,worker_id,country,workload_factor,latency_ms,status_code,endpoint,hour_local,minute_local
1761015072.3685918,2,France,0.050,136.553,200,files,0,0
1761015072.369248,1,France,0.050,137.278,200,files,0,0
1761015072.377274,0,France,0.050,145.372,200,cpu,0,0
1761015073.392917,2,France,0.050,23.394,200,files,0,30
1761015073.405985,1,France,0.050,35.298,200,files,0,30
1761015073.4087129,0,France,0.050,22.849,200,files,0,30
1761015074.401546,2,France,0.050,8.336,200,files,1,0
1761015074.416945,0,France,0.050,6.194,200,files,1,0
1761015074.4195,1,France,0.050,12.160,200,files,1,0
1761015075.406461,2,France,0.050,4.530,200,files,1,30
1761015075.427177,0,France,0.050,8.096,200,files,1,30
1761015075.4295108,1,France,0.050,6.935,200,files,1,30
1761015076.417587,2,France,0.050,9.485,200,files,2,0
1761015076.439741,1,France,0.050,8.051,200,files,2,0
1761015076.441241,0,France,0.050,13.016,200,cpu,2,0
1761015077.428017,2,France,0.050,9.346,200,files,2,30
1761015077.451668,1,France,0.050,8.380,200,files,2,30
1761015077.451915,0,France,0.050,7.632,200,files,2,30
1761015078.4419358,2,France,0.060,12.759,200,files,3,0
1761015078.458848,1,France,0.060,7.000,200,files,3,0
1761015078.4667761,0,France,0.060,14.222,200,cpu,3,0
1761015079.4596071,2,France,0.080,16.563,200,files,3,30
1761015079.4702988,1,France,0.080,9.754,200,files,3,30
1761015079.4751601,0,France,0.080,7.321,200,files,3,30
1761015080.4803588,2,France,0.120,20.311,200,files,4,0
1761015080.499661,0,France,0.120,22.714,200,files,4,0
1761015080.50075,1,France,0.120,25.698,200,files,4,0
1761015081.540716,2,France,0.180,59.496,200,files,4,30
1761015081.553195,0,France,0.180,43.405,200,files,4,30
1761015081.5590248,1,France,0.180,46.870,200,files,4,30
1761015082.689461,0,France,0.320,135.531,200,files,5,0
1761015082.736583,1,France,0.320,158.753,200,files,5,0
1761015082.7373598,2,France,0.320,196.319,200,cpu,5,0
1761015084.1557262,0,France,0.450,466.137,200,files,5,30
1761015084.158049,2,France,0.450,418.558,200,files,5,30
1761015084.205461,1,France,0.450,467.709,200,cpu,5,30
1761015085.620481,2,France,0.600,462.252,200,files,6,0
1761015085.756684,0,France,0.600,600.544,200,cpu,6,0
1761015085.778506,1,France,0.600,564.449,200,cpu,6,0
1761015087.953813,2,France,0.700,1332.247,200,cpu,6,30
1761015088.26427,1,France,0.700,1469.946,200,cpu,6,30
1761015088.361276,0,France,0.700,1567.684,200,cpu,6,30
1761015089.683468,2,France,0.800,728.349,200,cpu,7,0
1761015090.118458,1,France,0.800,846.018,200,cpu,7,0
1761015090.299514,0,France,0.800,937.096,200,cpu,7,0
