timestamp,worker_id,country,workload_factor,latency_ms,status_code,endpoint,hour_local,minute_local
1761015159.286564,1,United States (Eastern),0.050,160.570,200,files,0,0
1761015159.28941,2,United States (Eastern),0.050,163.348,200,files,0,0
1761015159.300641,0,United States (Eastern),0.050,174.728,200,files,0,0
1761015160.298833,1,United States (Eastern),0.050,11.466,200,files,0,30
1761015160.305313,2,United States (Eastern),0.050,15.239,200,files,0,30
1761015160.327274,0,United States (Eastern),0.050,20.275,200,files,0,30
1761015161.306112,1,United States (Eastern),0.050,7.101,200,files,1,0
1761015161.3111198,2,United States (Eastern),0.050,4.976,200,files,1,0
1761015161.338131,0,United States (Eastern),0.050,10.209,200,files,1,0
1761015162.325265,1,United States (Eastern),0.050,17.752,200,files,1,30
1761015162.3271701,2,United States (Eastern),0.050,14.109,200,files,1,30
1761015162.375236,0,United States (Eastern),0.050,34.415,200,files,1,30
1761015163.333289,1,United States (Eastern),0.050,7.822,200,files,2,0
1761015163.335944,2,United States (Eastern),0.050,8.379,200,files,2,0
1761015163.3844328,0,United States (Eastern),0.050,7.941,200,files,2,0
1761015164.3444421,2,United States (Eastern),0.050,8.019,200,files,2,30
1761015164.344696,1,United States (Eastern),0.050,10.412,200,files,2,30
1761015164.397414,0,United States (Eastern),0.050,12.741,200,files,2,30
1761015165.361877,2,United States (Eastern),0.060,16.226,200,files,3,0
1761015165.362574,1,United States (Eastern),0.060,16.721,200,files,3,0
1761015165.408882,0,United States (Eastern),0.060,10.287,200,files,3,0
1761015166.394591,1,United States (Eastern),0.080,31.168,200,files,3,30
1761015166.4018738,2,United States (Eastern),0.080,38.860,200,files,3,30
1761015166.429468,0,United States (Eastern),0.080,19.554,200,cpu,3,30
1761015167.4174972,1,United States (Eastern),0.120,22.105,200,files,4,0
1761015167.4257002,2,United States (Eastern),0.120,23.188,200,files,4,0
1761015167.451025,0,United States (Eastern),0.120,20.646,200,files,4,0
1761015168.465635,1,United States (Eastern),0.180,47.600,200,files,4,30
1761015168.467357,2,United States (Eastern),0.180,41.086,200,files,4,30
1761015168.5140638,0,United States (Eastern),0.180,57.596,200,files,4,30
1761015169.595456,1,United States (Eastern),0.280,128.733,200,files,5,0
1761015169.601734,2,United States (Eastern),0.280,134.154,200,files,5,0
1761015169.6737869,0,United States (Eastern),0.280,145.818,200,files,5,0
1761015170.8100731,1,United States (Eastern),0.400,213.491,200,files,5,30
1761015170.8220642,2,United States (Eastern),0.400,219.610,200,files,5,30
1761015170.968093,0,United States (Eastern),0.400,288.469,200,files,5,30
1761015171.998744,1,United States (Eastern),0.550,187.537,200,cpu,6,0
1761015172.040619,2,United States (Eastern),0.550,217.382,200,cpu,6,0
1761015172.307369,0,United States (Eastern),0.550,338.134,200,files,6,0
1761015173.4454951,1,United States (Eastern),0.680,446.647,200,cpu,6,30
1761015173.537301,2,United States (Eastern),0.680,487.860,200,cpu,6,30
