timestamp,worker_id,country,workload_factor,latency_ms,status_code,endpoint,hour_local,minute_local
1761087821.365279,2,Germany,0.050,146.541,200,files,0,0
1761087821.368962,3,Germany,0.050,150.142,200,files,0,0
1761087821.3776882,4,Germany,0.050,158.799,200,files,0,0
1761087821.379689,1,Germany,0.050,161.088,200,files,0,0
1761087821.380019,0,Germany,0.050,167.909,200,files,0,0
1761087822.378185,2,Germany,0.050,10.790,200,files,0,30
1761087822.394461,3,Germany,0.050,23.030,200,files,0,30
1761087822.4054651,1,Germany,0.050,22.901,200,files,0,30
1761087822.411229,4,Germany,0.050,30.802,200,files,0,30
1761087822.412558,0,Germany,0.050,29.493,200,files,0,30
1761087823.38919,2,Germany,0.050,8.920,200,files,1,0
1761087823.399848,3,Germany,0.050,4.923,200,files,1,0
1761087823.418567,4,Germany,0.050,6.887,200,files,1,0
1761087823.4199,0,Germany,0.050,7.213,200,files,1,0
1761087823.434512,1,Germany,0.050,28.762,200,cpu,1,0
1761087824.4025972,2,Germany,0.050,11.827,200,cpu,1,30
1761087824.4081411,3,Germany,0.050,6.301,200,files,1,30
1761087824.424208,4,Germany,0.050,5.385,200,files,1,30
1761087824.426789,0,Germany,0.050,6.371,200,files,1,30
1761087824.440491,1,Germany,0.050,4.030,200,files,1,30
1761087825.413198,2,Germany,0.050,10.508,200,files,2,0
1761087825.417571,3,Germany,0.050,7.622,200,files,2,0
1761087825.429308,4,Germany,0.050,4.730,200,files,2,0
1761087825.433019,0,Germany,0.050,6.067,200,files,2,0
1761087825.4464588,1,Germany,0.050,4.075,200,files,2,0
1761087826.424837,2,Germany,0.050,11.473,200,files,2,30
1761087826.431521,3,Germany,0.050,13.725,200,files,2,30
1761087826.4446669,4,Germany,0.050,14.813,200,files,2,30
1761087826.445906,0,Germany,0.050,12.441,200,files,2,30
1761087826.4502358,1,Germany,0.050,3.635,200,files,2,30
1761087827.440402,2,Germany,0.060,15.417,200,files,3,0
1761087827.4481301,3,Germany,0.060,15.773,200,files,3,0
1761087827.459703,0,Germany,0.060,12.587,200,files,3,0
1761087827.461215,4,Germany,0.060,15.460,200,files,3,0
1761087827.461519,1,Germany,0.060,10.095,200,files,3,0
