timestamp,worker_id,country,workload_factor,latency_ms,status_code,endpoint,hour_local,minute_local
1761087821.365491,4,Japan,0.050,145.965,200,files,0,0
1761087821.375783,2,Japan,0.050,156.385,200,files,0,0
1761087821.377057,3,Japan,0.050,157.597,200,files,0,0
1761087821.380692,0,Japan,0.050,161.426,200,files,0,0
1761087821.381193,1,Japan,0.050,161.860,200,files,0,0
1761087822.387511,4,Japan,0.050,19.624,200,files,0,30
1761087822.388001,2,Japan,0.050,11.017,200,files,0,30
1761087822.396086,1,Japan,0.050,10.885,200,files,0,30
1761087822.406568,0,Japan,0.050,22.772,200,files,0,30
1761087822.411825,3,Japan,0.050,32.064,200,files,0,30
1761087823.396369,4,Japan,0.050,6.637,200,files,1,0
1761087823.3982432,2,Japan,0.050,8.132,200,files,1,0
1761087823.4033012,1,Japan,0.050,6.510,200,files,1,0
1761087823.411617,0,Japan,0.050,4.623,200,files,1,0
1761087823.41902,3,Japan,0.050,6.875,200,files,1,0
1761087824.4031339,4,Japan,0.050,6.713,200,files,1,30
1761087824.406417,2,Japan,0.050,7.252,200,files,1,30
1761087824.410146,1,Japan,0.050,6.432,200,files,1,30
1761087824.418744,0,Japan,0.050,6.389,200,files,1,30
1761087824.4256058,3,Japan,0.050,6.249,200,files,1,30
1761087825.412807,4,Japan,0.050,9.474,200,files,2,0
1761087825.416043,2,Japan,0.050,7.636,200,files,2,0
1761087825.418433,1,Japan,0.050,7.364,200,files,2,0
1761087825.4258811,0,Japan,0.050,6.706,200,files,2,0
1761087825.432123,3,Japan,0.050,6.139,200,files,2,0
1761087826.423093,4,Japan,0.050,10.146,200,files,2,30
1761087826.426246,2,Japan,0.050,10.048,200,files,2,30
1761087826.437712,1,Japan,0.050,19.040,200,files,2,30
1761087826.441443,0,Japan,0.050,14.671,200,files,2,30
1761087826.44519,3,Japan,0.050,12.962,200,files,2,30
1761087827.44102,2,Japan,0.060,14.463,200,files,3,0
1761087827.441311,4,Japan,0.060,17.768,200,files,3,0
1761087827.4503229,1,Japan,0.060,10.978,200,files,3,0
1761087827.453095,0,Japan,0.060,10.306,200,files,3,0
1761087827.456543,3,Japan,0.060,10.189,200,files,3,0
1761087828.451524,2,Japan,0.080,10.057,200,files,3,30
1761087828.456228,4,Japan,0.080,13.977,200,cpu,3,30
1761087828.461406,1,Japan,0.080,9.701,200,files,3,30
1761087828.4640582,0,Japan,0.080,10.185,200,files,3,30
1761087828.466191,3,Japan,0.080,8.349,200,files,3,30
1761087829.478282,2,Japan,0.120,26.252,200,files,4,0
1761087829.48365,4,Japan,0.120,26.955,200,files,4,0
1761087829.491615,1,Japan,0.120,29.699,200,files,4,0
1761087829.498455,0,Japan,0.120,33.852,200,files,4,0
1761087829.5090618,3,Japan,0.120,40.421,200,files,4,0
1761087830.537575,0,Japan,0.180,38.729,200,cpu,4,30
1761087830.545977,2,Japan,0.180,67.308,200,files,4,30
1761087830.551579,4,Japan,0.180,67.535,200,files,4,30
1761087830.5601978,1,Japan,0.180,67.819,200,files,4,30
1761087830.569639,3,Japan,0.180,58.883,200,files,4,30
1761087831.624564,0,Japan,0.280,86.811,200,files,5,0
1761087831.640182,2,Japan,0.280,94.147,200,files,5,0
1761087831.6543748,4,Japan,0.280,102.137,200,files,5,0
1761087831.6936462,3,Japan,0.280,110.388,200,files,5,0
1761087831.699111,1,Japan,0.280,135.061,200,files,5,0
1761087832.7091289,0,Japan,0.400,84.524,200,cpu,5,30
1761087832.737123,4,Japan,0.400,82.716,200,cpu,5,30
1761087832.768942,2,Japan,0.400,128.717,200,files,5,30
1761087832.843026,3,Japan,0.400,148.529,200,files,5,30
1761087832.888597,1,Japan,0.400,183.504,200,files,5,30
1761087833.842956,0,Japan,0.550,131.759,200,cpu,6,0
1761087833.890253,4,Japan,0.550,152.183,200,cpu,6,0
1761087833.9985259,3,Japan,0.550,154.789,200,cpu,6,0
1761087834.023753,2,Japan,0.550,252.658,200,files,6,0
1761087834.07148,1,Japan,0.550,174.964,200,cpu,6,0
1761087835.0646248,0,Japan,0.700,219.593,200,cpu,6,30
1761087835.118477,4,Japan,0.700,226.098,200,cpu,6,30
1761087835.315837,3,Japan,0.700,316.229,200,cpu,6,30
1761087835.350655,1,Japan,0.700,277.831,200,cpu,6,30
1761087835.368114,2,Japan,0.700,343.700,200,cpu,6,30
1761087836.348258,0,Japan,0.820,281.586,200,cpu,7,0
1761087836.4177139,4,Japan,0.820,297.205,200,cpu,7,0
1761087836.678568,3,Japan,0.820,360.618,200,cpu,7,0
1761087836.706291,1,Japan,0.820,355.004,200,cpu,7,0
1761087836.7153559,2,Japan,0.820,346.784,200,cpu,7,0
1761087837.692103,0,Japan,0.900,341.795,200,cpu,7,30
1761087837.760171,4,Japan,0.900,340.396,200,cpu,7,30
1761087838.1481652,3,Japan,0.900,467.464,200,cpu,7,30
1761087838.1572878,1,Japan,0.900,449.301,200,cpu,7,30
1761087838.181271,2,Japan,0.900,464.240,200,cpu,7,30
1761087839.080194,0,Japan,0.950,387.156,200,cpu,8,0
1761087839.143351,4,Japan,0.950,381.129,200,cpu,8,0
1761087839.583704,3,Japan,0.950,434.296,200,cpu,8,0
1761087839.659224,2,Japan,0.950,475.603,200,cpu,8,0
1761087839.700085,1,Japan,0.950,540.922,200,files,8,0
1761087840.5129228,0,Japan,1.000,430.642,200,cpu,8,30
1761087840.573212,4,Japan,1.000,427.816,200,cpu,8,30
1761087841.097156,3,Japan,1.000,511.411,200,cpu,8,30
1761087841.207807,2,Japan,1.000,546.533,200,cpu,8,30
1761087841.242385,1,Japan,1.000,540.260,200,cpu,8,30
1761087841.94695,0,Japan,1.000,431.972,200,cpu,9,0
1761087842.002282,4,Japan,1.000,429.057,200,cpu,9,0
1761087842.5518909,3,Japan,1.000,452.668,200,cpu,9,0
1761087842.718849,2,Japan,1.000,509.165,200,cpu,9,0
