timestamp,worker_id,country,workload_factor,latency_ms,status_code,endpoint,hour_local,minute_local
1761087927.656609,3,United States (Eastern),0.050,168.614,200,files,0,0
1761087927.6659698,4,United States (Eastern),0.050,177.911,200,files,0,0
1761087927.667338,0,United States (Eastern),0.050,179.537,200,files,0,0
1761087927.6678772,1,United States (Eastern),0.050,180.013,200,files,0,0
1761087927.668797,2,United States (Eastern),0.050,180.869,200,files,0,0
1761087928.678679,3,United States (Eastern),0.050,20.922,200,files,0,30
1761087928.693324,2,United States (Eastern),0.050,20.197,200,files,0,30
1761087928.6975071,1,United States (Eastern),0.050,26.327,200,files,0,30
1761087928.699132,0,United States (Eastern),0.050,29.410,200,files,0,30
1761087928.701298,4,United States (Eastern),0.050,32.215,200,files,0,30
1761087929.685322,3,United States (Eastern),0.050,6.094,200,files,1,0
1761087929.698657,2,United States (Eastern),0.050,4.897,200,files,1,0
1761087929.7024589,1,United States (Eastern),0.050,4.934,200,files,1,0
1761087929.703934,0,United States (Eastern),0.050,4.735,200,files,1,0
1761087929.706571,4,United States (Eastern),0.050,5.157,200,files,1,0
1761087930.695621,3,United States (Eastern),0.050,9.458,200,files,1,30
1761087930.706541,2,United States (Eastern),0.050,7.311,200,files,1,30
1761087930.7087748,1,United States (Eastern),0.050,5.736,200,files,1,30
1761087930.710857,0,United States (Eastern),0.050,5.860,200,files,1,30
1761087930.711908,4,United States (Eastern),0.050,4.813,200,files,1,30
1761087931.706228,3,United States (Eastern),0.050,10.387,200,files,2,0
1761087931.7185888,1,United States (Eastern),0.050,8.818,200,files,2,0
1761087931.7197921,2,United States (Eastern),0.050,11.810,200,files,2,0
1761087931.722466,4,United States (Eastern),0.050,9.211,200,files,2,0
1761087931.723531,0,United States (Eastern),0.050,11.504,200,files,2,0
1761087932.721216,3,United States (Eastern),0.050,14.482,200,files,2,30
1761087932.7268858,1,United States (Eastern),0.050,8.109,200,files,2,30
1761087932.728283,2,United States (Eastern),0.050,6.589,200,files,2,30
1761087932.7310221,4,United States (Eastern),0.050,7.476,200,files,2,30
1761087932.7353249,0,United States (Eastern),0.050,10.854,200,files,2,30
1761087933.7314088,3,United States (Eastern),0.060,9.710,200,files,3,0
1761087933.739558,1,United States (Eastern),0.060,11.406,200,cpu,3,0
1761087933.740764,2,United States (Eastern),0.060,11.805,200,files,3,0
1761087933.7438788,4,United States (Eastern),0.060,11.606,200,files,3,0
1761087933.7516448,0,United States (Eastern),0.060,14.665,200,files,3,0
1761087934.7405581,3,United States (Eastern),0.080,8.985,200,files,3,30
1761087934.749546,2,United States (Eastern),0.080,8.120,200,files,3,30
1761087934.752457,1,United States (Eastern),0.080,11.696,200,files,3,30
1761087934.756141,4,United States (Eastern),0.080,11.883,200,files,3,30
1761087934.764717,0,United States (Eastern),0.080,11.238,200,files,3,30
1761087935.77535,3,United States (Eastern),0.120,34.281,200,files,4,0
1761087935.785214,1,United States (Eastern),0.120,32.288,200,files,4,0
1761087935.7856278,2,United States (Eastern),0.120,35.866,200,files,4,0
1761087935.80344,4,United States (Eastern),0.120,46.744,200,files,4,0
1761087935.806869,0,United States (Eastern),0.120,36.813,200,files,4,0
1761087936.819347,3,United States (Eastern),0.180,43.712,200,files,4,30
1761087936.839527,1,United States (Eastern),0.180,53.587,200,files,4,30
1761087936.841161,2,United States (Eastern),0.180,54.692,200,files,4,30
1761087936.84613,4,United States (Eastern),0.180,42.271,200,files,4,30
1761087936.856815,0,United States (Eastern),0.180,45.492,200,files,4,30
1761087937.881161,3,United States (Eastern),0.280,61.737,200,files,5,0
1761087937.9249191,1,United States (Eastern),0.280,84.957,200,files,5,0
1761087937.935762,4,United States (Eastern),0.280,89.240,200,files,5,0
1761087937.95087,2,United States (Eastern),0.280,108.747,200,files,5,0
1761087937.9609962,0,United States (Eastern),0.280,96.727,200,files,5,0
1761087938.988838,3,United States (Eastern),0.400,107.615,200,files,5,30
1761087939.08704,1,United States (Eastern),0.400,161.556,200,files,5,30
1761087939.093466,4,United States (Eastern),0.400,156.327,200,files,5,30
1761087939.09986,2,United States (Eastern),0.400,141.039,200,files,5,30
1761087939.118185,0,United States (Eastern),0.400,152.704,200,files,5,30
1761087940.1422799,3,United States (Eastern),0.550,153.302,200,cpu,6,0
1761087940.24398,4,United States (Eastern),0.550,149.914,200,cpu,6,0
1761087940.319465,2,United States (Eastern),0.550,211.141,200,cpu,6,0
1761087940.353025,1,United States (Eastern),0.550,265.154,200,files,6,0
