ts,cpu_percent,rss_mb,power_w,energy_j_total
1761086945.4349608,0.10,143.62,0.000,0.000000
1761086946.4370902,0.00,139.31,0.000,0.000000
1761086947.4370859,0.00,128.09,0.000,0.000000
1761086948.4358451,75.50,139.59,0.000,0.000000
1761086949.437093,128.10,145.70,0.000,0.000000
1761086950.4374,33.50,143.23,0.000,0.000000
1761086951.437095,33.40,123.22,0.000,0.000000
1761086952.437092,44.70,125.59,0.000,0.000000
1761086953.437098,53.40,124.72,0.000,0.000000
1761086954.437088,32.00,124.34,0.000,0.000000
1761086955.4366589,63.00,96.02,0.000,0.000000
1761086956.4370959,110.90,97.98,0.000,0.000000
1761086957.437093,128.00,96.38,0.000,0.000000
1761086958.4370959,240.90,100.12,0.000,0.000000
1761086959.437098,314.30,99.25,0.000,0.000000
1761086960.4370959,671.50,102.62,0.000,0.000000
1761086961.436974,944.50,110.61,0.000,0.000000
1761086962.435288,861.40,108.27,0.000,0.000000
1761086963.436905,952.00,106.95,0.000,0.000000
1761086964.4371421,916.90,106.31,0.000,0.000000
1761086965.436182,930.90,106.53,0.000,0.000000
1761086966.437097,906.90,105.64,0.000,0.000000
1761086967.437092,923.90,103.98,0.000,0.000000
1761086968.433581,932.60,104.06,0.000,0.000000
1761086969.4326751,956.80,101.89,0.000,0.000000
1761086970.43441,959.10,101.41,0.000,0.000000
1761086971.4370959,939.00,101.41,0.000,0.000000
1761086972.43681,973.70,101.41,0.000,0.000000
1761086973.434339,974.10,101.41,0.000,0.000000
1761086974.43581,967.50,101.41,0.000,0.000000
1761086975.435107,946.50,98.92,0.000,0.000000
1761086976.437092,976.40,99.14,0.000,0.000000
1761086977.435348,964.60,97.17,0.000,0.000000
1761086978.434241,914.80,97.27,0.000,0.000000
1761086979.437095,958.70,97.28,0.000,0.000000
1761086980.43677,929.50,97.39,0.000,0.000000
1761086981.434299,768.00,93.12,0.000,0.000000
1761086982.4371462,934.40,92.08,0.000,0.000000
1761086983.437094,920.00,92.08,0.000,0.000000
1761086984.435092,981.30,92.16,0.000,0.000000
1761086985.4341362,917.90,91.45,0.000,0.000000
1761086986.4360142,914.90,86.81,0.000,0.000000
1761086987.432637,880.40,86.81,0.000,0.000000
1761086988.432365,906.90,86.97,0.000,0.000000
1761086989.4348218,923.40,79.19,0.000,0.000000
1761086990.437094,909.20,79.39,0.000,0.000000
1761086991.435584,918.70,78.69,0.000,0.000000
1761086992.437257,892.70,80.08,0.000,0.000000
