timestamp,worker_id,country,workload_factor,latency_ms,status_code,endpoint,hour_local,minute_local
1761086948.852561,3,France,0.050,992.513,200,files,0,0
1761086948.853091,5,France,0.050,992.915,200,files,0,0
1761086948.853427,0,France,0.050,993.569,200,files,0,0
1761086948.872585,1,France,0.050,1012.667,200,files,0,0
1761086948.874343,2,France,0.050,1014.363,200,files,0,0
1761086949.070606,4,France,0.050,1210.497,200,cpu,0,0
1761086949.883144,0,France,0.050,27.975,200,files,0,30
1761086949.886315,3,France,0.050,32.026,200,files,0,30
1761086949.886844,5,France,0.050,32.120,200,files,0,30
1761086949.910304,1,France,0.050,33.728,200,files,0,30
1761086949.9248059,2,France,0.050,43.502,200,files,0,30
1761086950.087164,4,France,0.050,15.196,200,files,0,30
1761086950.897569,0,France,0.050,13.867,200,files,1,0
1761086950.9001238,3,France,0.050,13.776,200,files,1,0
1761086950.9016352,5,France,0.050,14.615,200,files,1,0
1761086950.9249148,1,France,0.050,14.448,200,files,1,0
1761086950.940157,2,France,0.050,13.702,200,files,1,0
1761086951.103599,4,France,0.050,15.538,200,files,1,0
1761086951.912749,0,France,0.050,14.517,200,files,1,30
1761086951.9158762,3,France,0.050,15.568,200,files,1,30
1761086951.917258,5,France,0.050,15.435,200,files,1,30
1761086951.941077,1,France,0.050,16.086,200,files,1,30
1761086951.959092,2,France,0.050,16.344,200,files,1,30
1761086952.118846,4,France,0.050,14.282,200,files,1,30
1761086952.9260318,0,France,0.050,12.688,200,files,2,0
1761086952.92883,3,France,0.050,12.660,200,files,2,0
1761086952.9303439,5,France,0.050,12.798,200,files,2,0
1761086952.954147,1,France,0.050,13.000,200,files,2,0
1761086952.97361,2,France,0.050,13.293,200,files,2,0
1761086953.1339898,4,France,0.050,14.041,200,files,2,0
1761086953.9387531,0,France,0.050,12.228,200,files,2,30
1761086953.941215,3,France,0.050,12.144,200,files,2,30
1761086953.943187,5,France,0.050,12.709,200,files,2,30
1761086953.966174,1,France,0.050,11.958,200,files,2,30
1761086953.986975,2,France,0.050,12.769,200,files,2,30
1761086954.1503282,4,France,0.050,15.496,200,files,2,30
1761086954.95407,0,France,0.060,14.956,200,files,3,0
1761086954.955467,3,France,0.060,14.036,200,files,3,0
1761086954.9575858,5,France,0.060,14.198,200,files,3,0
1761086954.979912,1,France,0.060,13.464,200,files,3,0
1761086955.134806,2,France,0.060,147.542,200,cpu,3,0
1761086955.169109,4,France,0.060,17.731,200,files,3,0
1761086955.978349,0,France,0.080,24.062,200,files,3,30
1761086955.979525,3,France,0.080,24.015,200,files,3,30
1761086956.1513898,5,France,0.080,193.576,200,cpu,3,30
1761086956.1569312,2,France,0.080,21.086,200,files,3,30
1761086956.2153862,1,France,0.080,235.239,200,cpu,3,30
1761086956.222056,4,France,0.080,51.386,200,files,3,30
1761086957.02003,0,France,0.120,41.502,200,files,4,0
1761086957.024359,3,France,0.120,44.752,200,files,4,0
1761086957.192033,5,France,0.120,39.822,200,files,4,0
1761086957.197094,2,France,0.120,40.042,200,files,4,0
1761086957.256117,1,France,0.120,39.622,200,files,4,0
1761086957.261492,4,France,0.120,39.171,200,files,4,0
1761086958.1194901,0,France,0.180,99.164,200,files,4,30
1761086958.1336262,3,France,0.180,108.810,200,files,4,30
1761086958.2797031,5,France,0.180,86.778,200,files,4,30
1761086958.283445,2,France,0.180,86.279,200,files,4,30
1761086958.339088,1,France,0.180,82.910,200,files,4,30
1761086958.34706,4,France,0.180,85.303,200,files,4,30
1761086959.583292,3,France,0.320,449.541,200,files,5,0
1761086959.858041,2,France,0.320,571.771,200,files,5,0
1761086959.874044,1,France,0.320,534.816,200,files,5,0
1761086959.882685,5,France,0.320,597.133,200,files,5,0
1761086959.8878632,4,France,0.320,540.465,200,files,5,0
1761086960.71061,0,France,0.320,1590.396,200,cpu,5,0
1761086961.482555,3,France,0.450,897.072,200,files,5,30
1761086961.756742,2,France,0.450,897.803,200,files,5,30
1761086961.7615218,4,France,0.450,873.093,200,files,5,30
1761086961.7941298,5,France,0.450,910.480,200,files,5,30
1761086961.8040729,1,France,0.450,928.747,200,files,5,30
1761086962.404095,0,France,0.450,682.864,200,files,5,30
1761086964.2193909,3,France,0.600,1735.707,200,files,6,0
1761086964.6111948,4,France,0.600,1849.077,200,files,6,0
1761086964.619173,5,France,0.600,1824.773,200,files,6,0
1761086964.780375,1,France,0.600,1976.129,200,files,6,0
1761086973.457261,2,France,0.600,10700.439,200,cpu,6,0
1761086973.7339892,0,France,0.600,10329.755,200,cpu,6,0
1761086979.557174,3,France,0.700,14336.362,200,cpu,6,30
1761086980.1370728,4,France,0.700,14525.002,200,cpu,6,30
1761086980.177789,1,France,0.700,14396.563,200,cpu,6,30
1761086980.285908,5,France,0.700,14666.227,200,cpu,6,30
1761086989.7232058,0,France,0.700,14988.880,200,cpu,6,30
1761086989.7366688,2,France,0.700,15278.542,200,cpu,6,30
1761087000.269242,3,France,0.800,19711.148,200,cpu,7,0
1761087000.727422,1,France,0.800,19549.854,200,cpu,7,0
1761087001.026597,5,France,0.800,19739.913,200,cpu,7,0
1761087001.039414,4,France,0.800,19901.776,200,cpu,7,0
1761087005.420563,2,France,0.800,14683.082,200,cpu,7,0
1761087005.554472,0,France,0.800,14830.389,200,cpu,7,0
