timestamp,worker_id,country,workload_factor,latency_ms,status_code,endpoint,hour_local,minute_local
1761087133.284469,2,United States (Eastern),0.050,149.801,200,files,0,0
1761087133.290727,4,United States (Eastern),0.050,155.932,200,files,0,0
1761087133.29506,1,United States (Eastern),0.050,160.451,200,files,0,0
1761087133.297584,0,United States (Eastern),0.050,163.041,200,files,0,0
1761087133.300079,5,United States (Eastern),0.050,165.227,200,files,0,0
1761087133.3006752,3,United States (Eastern),0.050,165.943,200,cpu,0,0
1761087134.30788,2,United States (Eastern),0.050,21.281,200,files,0,30
1761087134.3168588,4,United States (Eastern),0.050,23.722,200,files,0,30
1761087134.323238,1,United States (Eastern),0.050,25.773,200,cpu,0,30
1761087134.32561,5,United States (Eastern),0.050,21.570,200,files,0,30
1761087134.329823,0,United States (Eastern),0.050,29.905,200,files,0,30
1761087134.3335822,3,United States (Eastern),0.050,28.832,200,files,0,30
1761087135.31234,2,United States (Eastern),0.050,4.051,200,files,1,0
1761087135.322934,4,United States (Eastern),0.050,5.832,200,files,1,0
1761087135.329942,1,United States (Eastern),0.050,6.379,200,files,1,0
1761087135.3339782,5,United States (Eastern),0.050,7.666,200,files,1,0
1761087135.3421462,3,United States (Eastern),0.050,6.951,200,files,1,0
1761087135.34725,0,United States (Eastern),0.050,16.486,200,cpu,1,0
1761087136.318908,2,United States (Eastern),0.050,5.115,200,files,1,30
1761087136.326931,4,United States (Eastern),0.050,3.895,200,files,1,30
1761087136.335694,1,United States (Eastern),0.050,5.259,200,files,1,30
1761087136.338913,5,United States (Eastern),0.050,4.649,200,files,1,30
1761087136.349108,3,United States (Eastern),0.050,6.186,200,files,1,30
1761087136.3518028,0,United States (Eastern),0.050,4.339,200,files,1,30
1761087137.3266938,2,United States (Eastern),0.050,7.657,200,files,2,0
1761087137.3343449,4,United States (Eastern),0.050,6.338,200,files,2,0
1761087137.342258,1,United States (Eastern),0.050,6.313,200,files,2,0
1761087137.3435159,5,United States (Eastern),0.050,4.523,200,files,2,0
1761087137.355276,3,United States (Eastern),0.050,5.891,200,files,2,0
1761087137.35696,0,United States (Eastern),0.050,5.045,200,files,2,0
1761087138.336077,2,United States (Eastern),0.050,9.238,200,files,2,30
1761087138.342601,4,United States (Eastern),0.050,7.181,200,files,2,30
1761087138.347254,1,United States (Eastern),0.050,4.561,200,files,2,30
1761087138.347897,5,United States (Eastern),0.050,4.305,200,files,2,30
1761087138.360607,3,United States (Eastern),0.050,5.227,200,files,2,30
1761087138.361651,0,United States (Eastern),0.050,4.628,200,files,2,30
1761087139.344925,2,United States (Eastern),0.060,8.298,200,files,3,0
1761087139.354608,4,United States (Eastern),0.060,10.767,200,files,3,0
1761087139.357761,5,United States (Eastern),0.060,9.721,200,files,3,0
1761087139.362175,1,United States (Eastern),0.060,14.398,200,cpu,3,0
1761087139.369426,3,United States (Eastern),0.060,8.206,200,files,3,0
1761087139.370305,0,United States (Eastern),0.060,7.639,200,files,3,0
1761087140.356458,2,United States (Eastern),0.080,11.322,200,files,3,30
1761087140.371886,4,United States (Eastern),0.080,15.783,200,files,3,30
1761087140.380641,5,United States (Eastern),0.080,20.956,200,files,3,30
1761087140.387546,1,United States (Eastern),0.080,25.106,200,files,3,30
1761087140.3882098,3,United States (Eastern),0.080,18.695,200,files,3,30
1761087140.3886971,0,United States (Eastern),0.080,17.732,200,files,3,30
1761087141.373641,2,United States (Eastern),0.120,16.617,200,files,4,0
1761087141.390668,4,United States (Eastern),0.120,16.429,200,files,4,0
1761087141.399169,5,United States (Eastern),0.120,17.193,200,files,4,0
1761087141.402519,1,United States (Eastern),0.120,13.200,200,files,4,0
1761087141.40362,0,United States (Eastern),0.120,12.467,200,files,4,0
1761087141.410659,3,United States (Eastern),0.120,20.591,200,files,4,0
1761087142.4053462,2,United States (Eastern),0.180,31.574,200,files,4,30
1761087142.438237,4,United States (Eastern),0.180,44.784,200,files,4,30
1761087142.439166,5,United States (Eastern),0.180,37.729,200,files,4,30
1761087142.447465,0,United States (Eastern),0.180,39.333,200,files,4,30
1761087142.4680588,3,United States (Eastern),0.180,52.300,200,files,4,30
1761087142.4743629,1,United States (Eastern),0.180,68.009,200,files,4,30
1761087143.4982882,2,United States (Eastern),0.280,92.830,200,files,5,0
