timestamp,worker_id,country,workload_factor,latency_ms,status_code,endpoint,hour_local,minute_local
1761087551.2029219,3,Japan,0.050,916.416,200,files,0,0
1761087551.203825,1,Japan,0.050,917.447,200,files,0,0
1761087551.205611,2,Japan,0.050,919.173,200,files,0,0
1761087551.224858,4,Japan,0.050,938.293,200,files,0,0
1761087551.387124,0,Japan,0.050,1100.812,200,cpu,0,0
1761087552.2228968,1,Japan,0.050,17.841,200,files,0,30
1761087552.225369,3,Japan,0.050,20.827,200,files,0,30
1761087552.231719,2,Japan,0.050,24.246,200,files,0,30
1761087552.247201,4,Japan,0.050,20.400,200,files,0,30
1761087552.403151,0,Japan,0.050,14.956,200,files,0,30
1761087553.238272,1,Japan,0.050,15.121,200,files,1,0
1761087553.242365,3,Japan,0.050,16.701,200,files,1,0
1761087553.25029,2,Japan,0.050,18.053,200,files,1,0
1761087553.26509,4,Japan,0.050,16.734,200,files,1,0
1761087553.418207,0,Japan,0.050,13.994,200,files,1,0
1761087554.251751,1,Japan,0.050,13.354,200,files,1,30
1761087554.255512,3,Japan,0.050,12.766,200,files,1,30
1761087554.2650251,2,Japan,0.050,13.153,200,files,1,30
1761087554.281209,4,Japan,0.050,15.102,200,files,1,30
1761087554.432547,0,Japan,0.050,13.365,200,files,1,30
1761087555.268245,1,Japan,0.050,15.826,200,files,2,0
1761087555.269542,3,Japan,0.050,13.737,200,files,2,0
1761087555.277886,2,Japan,0.050,12.787,200,files,2,0
1761087555.295708,4,Japan,0.050,14.303,200,files,2,0
1761087555.446771,0,Japan,0.050,13.176,200,files,2,0
1761087556.284292,1,Japan,0.050,14.833,200,files,2,30
1761087556.2851741,3,Japan,0.050,15.043,200,files,2,30
1761087556.2908852,2,Japan,0.050,12.351,200,files,2,30
1761087556.311062,4,Japan,0.050,15.239,200,files,2,30
1761087556.460872,0,Japan,0.050,13.059,200,files,2,30
1761087557.3059149,1,Japan,0.060,20.965,200,files,3,0
1761087557.3069491,3,Japan,0.060,20.985,200,files,3,0
1761087557.311098,2,Japan,0.060,19.681,200,files,3,0
1761087557.3348422,4,Japan,0.060,23.236,200,files,3,0
1761087557.4785101,0,Japan,0.060,17.485,200,files,3,0
1761087558.334987,2,Japan,0.080,23.600,200,files,3,30
1761087558.336331,3,Japan,0.080,28.375,200,files,3,30
1761087558.336682,1,Japan,0.080,29.494,200,files,3,30
1761087558.360107,4,Japan,0.080,23.353,200,files,3,30
1761087558.499944,0,Japan,0.080,20.465,200,files,3,30
1761087559.38098,2,Japan,0.120,44.928,200,files,4,0
1761087559.3813329,1,Japan,0.120,44.290,200,files,4,0
1761087559.386224,3,Japan,0.120,49.665,200,files,4,0
1761087559.414837,4,Japan,0.120,54.178,200,files,4,0
1761087559.542411,0,Japan,0.120,41.433,200,files,4,0
1761087560.49228,2,Japan,0.180,110.208,200,files,4,30
1761087560.502377,3,Japan,0.180,116.057,200,files,4,30
1761087560.503401,1,Japan,0.180,120.886,200,files,4,30
1761087560.521269,4,Japan,0.180,106.200,200,files,4,30
1761087560.627004,0,Japan,0.180,83.555,200,files,4,30
1761087561.699202,2,Japan,0.280,206.844,200,files,5,0
1761087561.749758,1,Japan,0.280,245.818,200,files,5,0
1761087561.8057542,3,Japan,0.280,302.319,200,files,5,0
1761087561.815274,4,Japan,0.280,293.839,200,files,5,0
1761087561.935528,0,Japan,0.280,303.748,200,files,5,0
1761087563.155396,2,Japan,0.400,455.109,200,files,5,30
1761087563.2245061,1,Japan,0.400,474.515,200,files,5,30
1761087563.345273,4,Japan,0.400,529.388,200,files,5,30
1761087563.536352,0,Japan,0.400,595.402,200,files,5,30
1761087565.27948,2,Japan,0.550,1123.867,200,files,6,0
1761087566.0585291,3,Japan,0.400,3251.755,200,cpu,5,30
1761087571.3490932,1,Japan,0.550,7124.042,200,cpu,6,0
1761087571.615694,4,Japan,0.550,7269.422,200,cpu,6,0
1761087571.7173069,0,Japan,0.550,7178.881,200,cpu,6,0
1761087574.0976589,3,Japan,0.550,7038.138,200,cpu,6,0
1761087577.144338,3,Japan,0.700,2045.579,200,files,6,30
1761087577.829062,2,Japan,0.700,11549.613,200,cpu,6,30
1761087584.297376,1,Japan,0.700,11947.433,200,cpu,6,30
1761087584.536683,4,Japan,0.700,11920.047,200,cpu,6,30
1761087584.665974,0,Japan,0.700,11948.835,200,cpu,6,30
1761087594.571417,3,Japan,0.820,16426.298,200,cpu,7,0
1761087595.3441322,2,Japan,0.820,16514.257,200,cpu,7,0
1761087601.526966,1,Japan,0.820,16228.731,200,cpu,7,0
1761087601.987691,4,Japan,0.820,16450.563,200,cpu,7,0
1761087602.00134,0,Japan,0.820,16334.536,200,cpu,7,0
1761087607.8567731,3,Japan,0.900,12284.999,200,cpu,7,30
1761087608.2195451,2,Japan,0.900,11874.496,200,cpu,7,30
