timestamp,worker_id,country,workload_factor,latency_ms,status_code,endpoint,hour_local,minute_local
1761087551.202271,1,United States (Eastern),0.050,916.204,200,files,0,0
1761087551.202563,4,United States (Eastern),0.050,916.308,200,files,0,0
1761087551.205266,0,United States (Eastern),0.050,919.268,200,files,0,0
1761087551.218848,2,United States (Eastern),0.050,932.721,200,files,0,0
1761087551.22536,3,United States (Eastern),0.050,939.170,200,files,0,0
1761087552.219952,1,United States (Eastern),0.050,16.582,200,files,0,30
1761087552.2300029,0,United States (Eastern),0.050,22.834,200,files,0,30
1761087552.231442,4,United States (Eastern),0.050,27.386,200,files,0,30
1761087552.2356741,2,United States (Eastern),0.050,15.662,200,files,0,30
1761087552.251595,3,United States (Eastern),0.050,24.119,200,files,0,30
1761087553.236137,1,United States (Eastern),0.050,15.804,200,files,1,0
1761087553.247964,0,United States (Eastern),0.050,17.512,200,files,1,0
1761087553.2497752,4,United States (Eastern),0.050,17.874,200,files,1,0
1761087553.25364,2,United States (Eastern),0.050,16.948,200,files,1,0
1761087553.271036,3,United States (Eastern),0.050,17.308,200,files,1,0
1761087554.250731,1,United States (Eastern),0.050,13.489,200,files,1,30
1761087554.260496,0,United States (Eastern),0.050,12.512,200,files,1,30
1761087554.2677062,2,United States (Eastern),0.050,13.996,200,files,1,30
1761087554.284752,3,United States (Eastern),0.050,13.578,200,files,1,30
1761087554.3773818,4,United States (Eastern),0.050,127.536,200,cpu,1,30
1761087555.267536,1,United States (Eastern),0.050,15.702,200,files,2,0
1761087555.2812219,2,United States (Eastern),0.050,12.674,200,files,2,0
1761087555.2978308,3,United States (Eastern),0.050,12.777,200,files,2,0
1761087555.3888168,0,United States (Eastern),0.050,127.812,200,cpu,2,0
1761087555.3897011,4,United States (Eastern),0.050,11.632,200,files,2,0
1761087556.293934,2,United States (Eastern),0.050,12.384,200,files,2,30
1761087556.3139021,3,United States (Eastern),0.050,15.898,200,files,2,30
1761087556.4007301,1,United States (Eastern),0.050,132.043,200,cpu,2,30
1761087556.402048,0,United States (Eastern),0.050,12.391,200,files,2,30
1761087556.4023309,4,United States (Eastern),0.050,12.346,200,files,2,30
1761087557.312723,2,United States (Eastern),0.060,18.571,200,files,3,0
1761087557.333494,3,United States (Eastern),0.060,19.542,200,files,3,0
1761087557.418921,4,United States (Eastern),0.060,16.002,200,files,3,0
1761087557.419585,1,United States (Eastern),0.060,18.142,200,files,3,0
1761087557.56,0,United States (Eastern),0.060,157.596,200,cpu,3,0
1761087558.338231,2,United States (Eastern),0.080,25.377,200,files,3,30
1761087558.359615,3,United States (Eastern),0.080,23.837,200,files,3,30
1761087558.440667,4,United States (Eastern),0.080,21.224,200,files,3,30
1761087558.44096,1,United States (Eastern),0.080,21.174,200,files,3,30
1761087558.582179,0,United States (Eastern),0.080,21.132,200,files,3,30
1761087559.387721,2,United States (Eastern),0.120,48.891,200,files,4,0
1761087559.412601,3,United States (Eastern),0.120,52.292,200,files,4,0
1761087559.482508,1,United States (Eastern),0.120,41.290,200,files,4,0
1761087559.482719,4,United States (Eastern),0.120,41.730,200,files,4,0
1761087559.623019,0,United States (Eastern),0.120,39.813,200,files,4,0
1761087560.490397,2,United States (Eastern),0.180,102.532,200,files,4,30
1761087560.5173702,3,United States (Eastern),0.180,104.554,200,files,4,30
1761087560.5818062,1,United States (Eastern),0.180,98.492,200,files,4,30
1761087560.583223,4,United States (Eastern),0.180,97.586,200,files,4,30
1761087561.135506,0,United States (Eastern),0.180,512.457,200,cpu,4,30
1761087561.751067,2,United States (Eastern),0.280,259.568,200,files,5,0
1761087561.7689931,3,United States (Eastern),0.280,251.065,200,files,5,0
1761087562.3277981,0,United States (Eastern),0.280,192.163,200,files,5,0
1761087562.761442,1,United States (Eastern),0.280,1178.815,200,cpu,5,0
1761087562.7685928,4,United States (Eastern),0.280,1184.411,200,cpu,5,0
1761087563.226918,3,United States (Eastern),0.400,457.854,200,files,5,30
1761087564.213342,4,United States (Eastern),0.400,444.599,200,files,5,30
1761087565.9176939,2,United States (Eastern),0.400,3166.489,200,cpu,5,30
1761087566.58586,0,United States (Eastern),0.400,3257.895,200,cpu,5,30
1761087567.238875,1,United States (Eastern),0.400,3477.350,200,cpu,5,30
1761087571.4971678,3,United States (Eastern),0.550,7269.431,200,cpu,6,0
1761087572.221164,4,United States (Eastern),0.550,7007.881,200,cpu,6,0
1761087573.882398,2,United States (Eastern),0.550,6964.392,200,cpu,6,0
1761087574.8681479,0,United States (Eastern),0.550,7281.319,200,cpu,6,0
1761087575.318636,1,United States (Eastern),0.550,7078.767,200,cpu,6,0
1761087583.696086,3,United States (Eastern),0.680,11198.013,200,cpu,6,30
1761087584.3951948,4,United States (Eastern),0.680,11172.270,200,cpu,6,30
1761087586.169313,2,United States (Eastern),0.680,11286.505,200,cpu,6,30
1761087587.0161018,0,United States (Eastern),0.680,11147.032,200,cpu,6,30
1761087587.616553,1,United States (Eastern),0.680,11297.007,200,cpu,6,30
1761087599.618714,3,United States (Eastern),0.780,14921.806,200,cpu,7,0
1761087600.679735,4,United States (Eastern),0.780,15283.739,200,cpu,7,0
1761087601.925365,2,United States (Eastern),0.780,14755.158,200,cpu,7,0
1761087602.370324,0,United States (Eastern),0.780,14353.364,200,cpu,7,0
1761087602.883739,1,United States (Eastern),0.780,14266.437,200,cpu,7,0
