ts,cpu_percent,rss_mb,power_w,energy_j_total
1759193024.8364449,0.50,197.69,0.000,0.000000
1759193025.8363898,0.10,197.69,0.000,0.000000
1759193026.836444,0.10,197.69,0.000,0.000000
1759193027.8339782,0.20,197.69,0.000,0.000000
1759193028.834121,0.20,197.69,0.000,0.000000
1759193029.833538,0.20,197.69,0.000,0.000000
1759193030.831815,0.10,197.69,0.000,0.000000
1759193031.834906,0.20,197.69,0.000,0.000000
1759193032.834211,0.50,197.92,0.000,0.000000
1759193033.8325372,0.20,197.92,0.000,0.000000
1759193034.836417,0.30,197.92,0.000,0.000000
1759193035.834081,0.30,198.00,0.000,0.000000
1759193036.836282,0.20,198.00,0.000,0.000000
1759193037.836431,0.20,198.00,0.000,0.000000
1759193038.836406,0.20,198.00,0.000,0.000000
1759193039.831666,0.20,198.00,0.000,0.000000
1759193040.834024,0.20,198.00,0.000,0.000000
1759193041.8325691,0.20,198.00,0.000,0.000000
1759193042.832576,0.70,198.38,0.000,0.000000
1759193043.8329668,0.20,198.38,0.000,0.000000
1759193044.836385,0.30,198.45,0.000,0.000000
1759193045.836373,0.20,198.45,0.000,0.000000
1759193046.8363872,0.20,198.48,0.000,0.000000
1759193047.834469,0.20,198.50,0.000,0.000000
1759193048.8344378,2.10,199.09,0.000,0.000000
1759193049.8352408,59.20,212.12,0.000,0.000000
1759193050.8364,0.30,212.12,0.000,0.000000
1759193051.836407,0.20,212.12,0.000,0.000000
1759193052.83301,0.10,212.12,0.000,0.000000
1759193053.832654,0.20,212.12,0.000,0.000000
1759193054.833317,0.30,212.12,0.000,0.000000
1759193055.836429,0.10,212.12,0.000,0.000000
1759193056.836373,0.10,212.12,0.000,0.000000
1759193057.834334,0.10,212.12,0.000,0.000000
1759193058.836363,0.10,212.12,0.000,0.000000
1759193059.8363898,0.20,212.12,0.000,0.000000
1759193060.833245,0.10,212.12,0.000,0.000000
1759193061.83429,0.10,212.12,0.000,0.000000
1759193062.834089,0.20,212.12,0.000,0.000000
1759193063.8363829,0.20,212.12,0.000,0.000000
1759193064.836374,0.40,212.14,0.000,0.000000
1759193065.8363898,0.30,212.14,0.000,0.000000
1759193066.8340878,0.10,212.14,0.000,0.000000
1759193067.835368,0.10,212.14,0.000,0.000000
1759193068.834168,0.10,212.14,0.000,0.000000
1759193069.833861,0.10,212.14,0.000,0.000000
1759193070.836375,0.20,212.14,0.000,0.000000
1759193071.8330848,0.20,212.14,0.000,0.000000
1759193072.836389,20.10,216.30,0.000,0.000000
1759193073.83307,0.20,216.30,0.000,0.000000
1759193074.836386,0.30,216.30,0.000,0.000000
1759193075.8333251,0.10,216.30,0.000,0.000000
1759193076.836399,0.10,216.30,0.000,0.000000
1759193077.836403,0.20,216.30,0.000,0.000000
1759193078.836392,0.10,216.30,0.000,0.000000
1759193079.8353002,0.10,216.30,0.000,0.000000
1759193080.8351538,0.20,216.33,0.000,0.000000
1759193081.833983,0.10,216.33,0.000,0.000000
1759193082.83637,0.10,216.33,0.000,0.000000
1759193083.836378,0.10,216.33,0.000,0.000000
1759193084.836388,0.20,216.33,0.000,0.000000
1759193085.8333828,0.20,216.33,0.000,0.000000
1759193086.835148,0.10,216.33,0.000,0.000000
1759193087.831722,0.20,216.33,0.000,0.000000
1759193088.836373,0.10,216.33,0.000,0.000000
1759193089.836389,0.10,216.33,0.000,0.000000
1759193090.833246,0.10,216.33,0.000,0.000000
1759193091.836365,0.10,216.33,0.000,0.000000
1759193092.83641,0.30,216.33,0.000,0.000000
1759193093.8362381,12.60,216.91,0.000,0.000000
1759193094.835348,0.20,216.91,0.000,0.000000
