ts,cpu_percent,rss_mb,power_w,energy_j_total
1759193462.998658,0.10,186.45,0.000,0.000000
1759193463.99617,0.40,186.47,0.000,0.000000
1759193464.998677,0.10,186.47,0.000,0.000000
1759193465.998424,0.10,186.47,0.000,0.000000
1759193466.9972749,0.10,186.47,0.000,0.000000
1759193467.9956741,0.10,186.47,0.000,0.000000
1759193468.994184,0.10,186.47,0.000,0.000000
1759193469.9964302,0.10,186.47,0.000,0.000000
1759193470.994045,0.10,186.47,0.000,0.000000
1759193471.998667,0.10,186.47,0.000,0.000000
1759193472.99868,0.10,186.47,0.000,0.000000
1759193473.9945579,0.10,186.47,0.000,0.000000
1759193474.994546,0.10,186.47,0.000,0.000000
1759193475.998658,0.10,186.47,0.000,0.000000
1759193476.9968169,0.10,186.47,0.000,0.000000
1759193477.998637,0.10,186.47,0.000,0.000000
1759193478.993983,0.10,186.47,0.000,0.000000
1759193479.998133,0.10,186.47,0.000,0.000000
1759193480.998216,56.70,197.17,0.000,0.000000
1759193481.9958441,0.30,197.17,0.000,0.000000
1759193482.996863,0.20,197.17,0.000,0.000000
1759193483.9986072,0.30,197.17,0.000,0.000000
1759193484.998687,0.20,197.17,0.000,0.000000
1759193485.995884,0.20,197.17,0.000,0.000000
1759193486.9980001,0.30,197.28,0.000,0.000000
1759193487.996762,0.20,197.28,0.000,0.000000
1759193488.998336,0.20,197.28,0.000,0.000000
1759193489.996133,0.20,197.28,0.000,0.000000
1759193490.9975271,0.20,197.28,0.000,0.000000
1759193491.9968371,0.20,197.28,0.000,0.000000
1759193492.993796,0.20,197.28,0.000,0.000000
1759193493.994944,0.30,197.28,0.000,0.000000
1759193494.998246,0.20,196.28,0.000,0.000000
1759193495.998556,0.20,192.09,0.000,0.000000
1759193496.9977012,0.30,192.09,0.000,0.000000
1759193497.995702,0.20,192.09,0.000,0.000000
1759193498.994454,11.40,192.95,0.000,0.000000
1759193499.99867,3.20,187.52,0.000,0.000000
1759193500.998492,0.20,187.52,0.000,0.000000
1759193501.9944708,0.20,187.52,0.000,0.000000
1759193502.995528,0.20,187.52,0.000,0.000000
1759193503.995281,0.30,187.52,0.000,0.000000
1759193504.994215,0.20,187.52,0.000,0.000000
1759193505.997851,0.20,187.52,0.000,0.000000
1759193506.993813,0.20,187.52,0.000,0.000000
1759193507.995528,0.20,187.52,0.000,0.000000
1759193508.996761,0.20,187.52,0.000,0.000000
1759193509.996342,0.20,187.52,0.000,0.000000
1759193510.9957929,0.20,187.52,0.000,0.000000
1759193511.998666,0.20,187.52,0.000,0.000000
1759193512.998695,0.20,187.52,0.000,0.000000
1759193513.9986749,0.40,187.52,0.000,0.000000
1759193514.998687,0.20,187.52,0.000,0.000000
1759193515.994018,0.20,187.52,0.000,0.000000
1759193516.998682,0.20,187.52,0.000,0.000000
1759193517.997225,0.40,187.61,0.000,0.000000
1759193518.9952,0.80,187.86,0.000,0.000000
1759193519.997448,0.20,187.86,0.000,0.000000
1759193520.9986718,0.20,187.86,0.000,0.000000
1759193521.998657,0.20,187.86,0.000,0.000000
1759193522.9951181,10.10,187.98,0.000,0.000000
1759193523.9986691,0.40,187.98,0.000,0.000000
1759193524.9981198,0.20,187.98,0.000,0.000000
1759193525.995174,0.20,187.98,0.000,0.000000
1759193526.99459,0.20,187.98,0.000,0.000000
1759193527.9974442,0.20,187.98,0.000,0.000000
1759193528.998664,0.20,187.98,0.000,0.000000
1759193529.996087,0.20,187.98,0.000,0.000000
1759193530.998682,0.20,187.98,0.000,0.000000
1759193531.9975932,0.20,187.98,0.000,0.000000
1759193532.995656,0.20,187.98,0.000,0.000000
1759193533.99672,0.30,187.98,0.000,0.000000
1759193534.99516,0.20,187.98,0.000,0.000000
1759193535.9954078,0.20,187.98,0.000,0.000000
1759193536.994926,0.20,187.98,0.000,0.000000
1759193537.994996,0.20,187.98,0.000,0.000000
1759193538.997963,0.20,187.98,0.000,0.000000
1759193539.996727,0.20,187.98,0.000,0.000000
