timestamp,worker_id,workload_factor,latency_ms,status_code,endpoint,date,hour
1759194374.650393,1,0.235,138.483,200,files,2025-09-30,3
1759194375.502728,5,0.230,15.178,200,files,2025-09-30,3
1759194375.6809442,2,0.229,13.686,200,files,2025-09-30,3
1759194376.491748,0,0.239,13.742,200,files,2025-09-30,3
1759194377.543069,4,0.233,12.747,200,files,2025-09-30,3
1759194379.155881,3,0.208,13.245,200,files,2025-09-30,3
1759194383.648187,4,0.239,44.064,200,cpu,2025-09-30,3
1759194383.8726249,0,0.233,12.511,200,files,2025-09-30,3
1759194384.543542,1,0.225,8.259,200,files,2025-09-30,3
1759194385.309578,2,0.217,12.992,200,files,2025-09-30,3
1759194385.571467,5,0.233,8.116,200,files,2025-09-30,3
1759194389.931849,3,0.234,9.319,200,files,2025-09-30,3
1759194391.371718,4,0.232,9.074,200,files,2025-09-30,3
1759194392.290665,2,0.219,8.191,200,files,2025-09-30,3
1759194394.119207,1,0.238,10.214,200,cpu,2025-09-30,3
1759194394.287442,0,0.226,14.921,200,cpu,2025-09-30,3
1759194394.7879539,5,0.238,8.414,200,files,2025-09-30,3
1759194397.022214,3,0.206,8.727,200,files,2025-09-30,3
1759194399.565695,4,0.222,13.104,200,files,2025-09-30,3
1759194399.957676,2,0.215,8.499,200,files,2025-09-30,3
1759194401.931938,1,0.234,12.677,200,files,2025-09-30,3
1759194402.744616,0,0.226,12.566,200,files,2025-09-30,3
1759194404.688996,3,0.237,8.578,200,files,2025-09-30,3
1759194404.826686,5,0.237,13.522,200,files,2025-09-30,3
1759194408.445097,2,0.207,11.978,200,files,2025-09-30,3
1759194410.249318,4,0.223,12.573,200,files,2025-09-30,3
1759194410.676536,1,0.206,11.772,200,files,2025-09-30,3
1759194410.852389,0,0.241,11.404,200,files,2025-09-30,3
1759194411.0646122,3,0.232,11.411,200,files,2025-09-30,3
1759194415.5632262,5,0.213,13.092,200,cpu,2025-09-30,3
1759194417.1048582,0,0.228,9.825,200,files,2025-09-30,3
1759194417.110989,2,0.211,5.874,200,files,2025-09-30,3
1759194418.159411,4,0.218,11.520,200,files,2025-09-30,3
1759194420.9874701,1,0.241,12.348,200,files,2025-09-30,3
1759194421.1893098,3,0.209,10.457,200,cpu,2025-09-30,3
1759194423.191797,5,0.228,6.212,200,files,2025-09-30,3
1759194426.56221,2,0.225,13.492,200,cpu,2025-09-30,3
1759194427.0088162,1,0.239,12.561,200,files,2025-09-30,3
1759194428.93925,0,0.208,7.110,200,files,2025-09-30,3
1759194429.541784,4,0.219,12.598,200,files,2025-09-30,3
1759194430.530036,3,0.218,11.142,200,files,2025-09-30,3
1759194431.007979,5,0.212,12.325,200,files,2025-09-30,3
1759194434.8635788,2,0.218,9.068,200,files,2025-09-30,3
1759194434.922656,1,0.236,9.722,200,files,2025-09-30,3
1759194437.807104,0,0.234,10.026,200,files,2025-09-30,3
1759194438.029769,4,0.202,13.277,200,files,2025-09-30,3
1759194438.5933208,3,0.237,13.777,200,files,2025-09-30,3
1759194440.4191601,5,0.202,13.185,200,cpu,2025-09-30,3
1759194442.0169091,1,0.201,12.061,200,files,2025-09-30,3
1759194443.676748,2,0.234,12.451,200,files,2025-09-30,3
1759194445.4712691,0,0.212,12.039,200,files,2025-09-30,3
1759194445.7774248,4,0.215,11.606,200,files,2025-09-30,3
1759194448.218108,3,0.241,12.515,200,files,2025-09-30,3
1759194449.017699,1,0.237,11.834,200,files,2025-09-30,3
1759194450.2809758,5,0.206,7.301,200,files,2025-09-30,3
1759194452.672479,2,0.200,11.707,200,files,2025-09-30,3
1759194453.365181,4,0.217,12.723,200,files,2025-09-30,3
1759194453.477088,0,0.204,11.019,200,files,2025-09-30,3
1759194454.765955,3,0.237,12.534,200,files,2025-09-30,3
1759194456.541125,1,0.211,10.883,200,files,2025-09-30,3
1759194457.9629161,5,0.201,7.294,200,files,2025-09-30,3
1759194460.523565,0,0.219,10.466,200,files,2025-09-30,3
1759194461.2910552,2,0.239,11.905,200,files,2025-09-30,3
1759194461.9155788,4,0.229,9.568,200,files,2025-09-30,3
1759194465.0377128,1,0.216,10.078,200,files,2025-09-30,3
1759194466.852579,3,0.207,9.158,200,cpu,2025-09-30,3
1759194468.873142,5,0.225,13.070,200,files,2025-09-30,3
1759194470.509293,2,0.214,20.886,200,files,2025-09-30,3
1759194470.965517,0,0.229,14.397,200,files,2025-09-30,3
1759194472.806628,1,0.227,12.111,200,files,2025-09-30,3
1759194473.142121,4,0.220,11.429,200,files,2025-09-30,3
1759194475.8604438,5,0.201,8.452,200,files,2025-09-30,3
1759194476.4553542,3,0.215,12.848,200,files,2025-09-30,3
1759194481.8677619,2,0.226,15.296,200,files,2025-09-30,3
1759194481.878742,0,0.219,9.540,200,cpu,2025-09-30,3
1759194482.954921,1,0.217,9.094,200,files,2025-09-30,3
1759194483.168531,4,0.220,9.895,200,cpu,2025-09-30,3
1759194484.352098,3,0.199,12.160,200,files,2025-09-30,3
1759194485.223629,5,0.218,10.344,200,files,2025-09-30,3
1759194490.250433,4,0.234,13.249,200,files,2025-09-30,3
1759194491.3297741,3,0.205,11.775,200,files,2025-09-30,3
1759194491.3417249,0,0.218,5.823,200,files,2025-09-30,3
1759194491.786586,1,0.241,8.712,200,files,2025-09-30,3
1759194492.1905122,5,0.233,9.987,200,files,2025-09-30,3
1759194493.664265,2,0.218,7.164,200,files,2025-09-30,3
1759194497.533427,4,0.235,11.895,200,files,2025-09-30,3
1759194497.7103412,0,0.241,12.224,200,cpu,2025-09-30,3
1759194499.719851,5,0.217,12.472,200,files,2025-09-30,3
1759194499.852632,2,0.229,12.438,200,files,2025-09-30,3
1759194499.9072168,1,0.235,9.811,200,files,2025-09-30,3
1759194500.689437,3,0.215,6.977,200,files,2025-09-30,3
1759194506.6562939,2,0.241,15.629,200,cpu,2025-09-30,3
1759194507.1339421,0,0.242,12.046,200,files,2025-09-30,3
1759194507.8529432,4,0.222,11.613,200,files,2025-09-30,3
1759194508.9791539,1,0.239,9.488,200,files,2025-09-30,3
1759194510.529835,5,0.203,8.271,200,files,2025-09-30,3
1759194512.7318301,3,0.213,11.245,200,files,2025-09-30,3
1759194513.3213592,2,0.232,11.424,200,files,2025-09-30,3
1759194516.2055402,1,0.239,9.386,200,files,2025-09-30,3
1759194517.4696262,5,0.228,7.340,200,files,2025-09-30,3
1759194518.4177978,0,0.224,11.070,200,files,2025-09-30,3
1759194519.512038,4,0.205,10.779,200,files,2025-09-30,3
1759194524.0715141,3,0.213,12.429,200,files,2025-09-30,3
1759194525.024891,2,0.209,10.651,200,files,2025-09-30,3
1759194525.485127,1,0.222,11.966,200,files,2025-09-30,3
1759194527.193873,5,0.242,11.085,200,files,2025-09-30,3
1759194527.552415,4,0.220,11.500,200,files,2025-09-30,3
1759194530.087169,0,0.216,6.807,200,files,2025-09-30,3
1759194531.709513,2,0.239,11.294,200,files,2025-09-30,3
1759194532.2017112,3,0.232,12.227,200,files,2025-09-30,3
1759194533.300276,1,0.229,9.597,200,files,2025-09-30,3
1759194537.778373,5,0.232,10.087,200,files,2025-09-30,3
1759194537.958876,4,0.220,10.067,200,files,2025-09-30,3
1759194538.665216,0,0.230,8.624,200,files,2025-09-30,3
1759194538.935416,3,0.224,7.318,200,files,2025-09-30,3
1759194542.379872,2,0.219,11.495,200,cpu,2025-09-30,3
1759194542.962018,1,0.235,11.466,200,files,2025-09-30,3
1759194544.579565,5,0.208,11.414,200,files,2025-09-30,3
1759194546.192651,4,0.233,8.089,200,cpu,2025-09-30,3
