ts,cpu_percent,rss_mb,power_w,energy_j_total
1759013231.713683,0.50,264.64,0.000,0.000000
1759013232.712186,0.10,264.64,0.000,0.000000
1759013233.7108428,0.10,264.64,0.000,0.000000
1759013234.713614,0.10,247.89,0.000,0.000000
1759013235.710811,0.10,247.89,0.000,0.000000
1759013236.711471,0.10,247.89,0.000,0.000000
1759013237.713474,0.20,247.89,0.000,0.000000
1759013238.7107892,0.10,247.89,0.000,0.000000
1759013239.7119832,0.10,247.89,0.000,0.000000
1759013240.713171,0.10,247.89,0.000,0.000000
1759013241.713174,0.40,247.91,0.000,0.000000
1759013242.711759,0.10,247.91,0.000,0.000000
1759013243.708808,0.30,247.92,0.000,0.000000
1759013244.713569,0.10,247.92,0.000,0.000000
1759013245.7136278,0.10,247.92,0.000,0.000000
1759013246.713648,0.20,247.92,0.000,0.000000
1759013247.7136362,0.10,247.92,0.000,0.000000
1759013248.713185,0.30,248.00,0.000,0.000000
1759013249.713217,32.80,281.98,0.000,0.000000
1759013250.713634,0.20,281.98,0.000,0.000000
1759013251.713637,0.40,281.98,0.000,0.000000
1759013252.713633,1.70,278.27,0.000,0.000000
1759013253.713634,0.30,278.27,0.000,0.000000
1759013254.713633,0.20,278.27,0.000,0.000000
1759013255.713642,3.80,278.58,0.000,0.000000
1759013256.713641,0.20,278.58,0.000,0.000000
1759013257.710874,2.80,278.89,0.000,0.000000
1759013258.713635,2.60,278.98,0.000,0.000000
1759013259.710953,0.20,276.69,0.000,0.000000
1759013260.713642,0.20,276.69,0.000,0.000000
1759013261.7136362,0.70,276.70,0.000,0.000000
1759013262.709642,0.20,276.70,0.000,0.000000
1759013263.71063,0.20,276.70,0.000,0.000000
1759013264.713642,0.30,276.70,0.000,0.000000
1759013265.713325,3.10,276.91,0.000,0.000000
1759013266.7123609,0.20,276.91,0.000,0.000000
1759013267.712666,2.30,275.92,0.000,0.000000
1759013268.713634,0.20,273.31,0.000,0.000000
1759013269.7097611,2.80,273.34,0.000,0.000000
1759013270.713635,0.20,273.34,0.000,0.000000
1759013271.711067,0.40,273.36,0.000,0.000000
1759013272.713624,0.20,273.36,0.000,0.000000
1759013273.713415,0.30,273.36,0.000,0.000000
1759013274.712318,0.40,273.36,0.000,0.000000
1759013275.7136362,0.20,273.36,0.000,0.000000
1759013276.7136178,0.20,273.36,0.000,0.000000
1759013277.7133892,0.20,273.36,0.000,0.000000
1759013278.713641,0.20,273.36,0.000,0.000000
1759013279.713394,0.20,273.36,0.000,0.000000
1759013280.713394,4.00,273.38,0.000,0.000000
1759013281.708971,2.70,273.39,0.000,0.000000
1759013282.7134159,0.20,273.39,0.000,0.000000
1759013283.709791,1.80,273.45,0.000,0.000000
1759013284.718631,0.20,273.45,0.000,0.000000
1759013285.710665,1.70,273.47,0.000,0.000000
1759013286.715928,0.20,271.23,0.000,0.000000
1759013287.717675,0.20,271.23,0.000,0.000000
1759013288.710777,1.50,254.83,0.000,0.000000
1759013289.715946,0.20,254.83,0.000,0.000000
1759013290.71865,0.20,254.83,0.000,0.000000
1759013291.716568,0.30,254.83,0.000,0.000000
1759013292.7186291,0.20,254.83,0.000,0.000000
1759013293.710057,0.20,254.83,0.000,0.000000
1759013294.718081,0.20,254.83,0.000,0.000000
1759013295.7186382,0.20,254.83,0.000,0.000000
1759013296.718383,0.20,254.83,0.000,0.000000
1759013297.710835,0.20,254.83,0.000,0.000000
1759013298.714995,2.50,254.86,0.000,0.000000
1759013299.712925,0.30,254.86,0.000,0.000000
1759013300.715008,0.20,254.86,0.000,0.000000
1759013301.715002,1.30,254.86,0.000,0.000000
1759013302.709772,0.20,254.86,0.000,0.000000
1759013303.7178009,0.30,254.86,0.000,0.000000
1759013304.713768,1.90,254.86,0.000,0.000000
1759013305.716993,2.10,254.89,0.000,0.000000
1759013306.7178292,0.20,254.89,0.000,0.000000
1759013307.7153568,0.20,254.89,0.000,0.000000
1759013308.710355,0.20,254.89,0.000,0.000000
1759013309.716226,0.20,254.89,0.000,0.000000
1759013310.718663,2.40,254.97,0.000,0.000000
1759013311.7160351,2.40,254.98,0.000,0.000000
1759013312.718634,0.20,254.98,0.000,0.000000
1759013313.71446,0.40,254.98,0.000,0.000000
1759013314.71864,0.40,254.98,0.000,0.000000
1759013315.710919,0.30,254.98,0.000,0.000000
1759013316.718267,1.90,255.00,0.000,0.000000
1759013317.718633,0.20,255.00,0.000,0.000000
1759013318.7095108,0.30,255.00,0.000,0.000000
1759013319.717799,0.20,255.00,0.000,0.000000
1759013320.7151098,2.00,255.03,0.000,0.000000
1759013321.71079,0.20,255.03,0.000,0.000000
1759013322.7116082,1.90,255.03,0.000,0.000000
1759013323.709169,0.20,255.03,0.000,0.000000
1759013324.717804,2.00,255.03,0.000,0.000000
1759013325.7136,0.20,255.03,0.000,0.000000
1759013326.71589,0.20,255.03,0.000,0.000000
1759013327.718634,0.20,255.03,0.000,0.000000
1759013328.718634,0.60,255.03,0.000,0.000000
1759013329.716815,0.10,255.03,0.000,0.000000
1759013330.712877,0.30,255.03,0.000,0.000000
1759013331.718635,0.20,255.03,0.000,0.000000
1759013332.7177238,2.10,255.06,0.000,0.000000
1759013333.715796,0.20,255.06,0.000,0.000000
1759013334.7179022,0.20,255.06,0.000,0.000000
