ts,cpu_percent,rss_mb,power_w,energy_j_total
1759195215.386186,0.70,205.88,0.000,0.000000
1759195216.38382,0.10,205.88,0.000,0.000000
1759195217.386168,0.20,205.88,0.000,0.000000
1759195218.384955,0.10,205.88,0.000,0.000000
1759195219.3861802,0.20,205.88,0.000,0.000000
1759195220.385816,0.20,205.88,0.000,0.000000
1759195221.3846772,0.20,205.88,0.000,0.000000
1759195222.376343,0.30,205.94,0.000,0.000000
1759195223.384575,39.10,216.02,0.000,0.000000
1759195224.385375,5.90,216.58,0.000,0.000000
1759195225.386195,3.30,216.73,0.000,0.000000
1759195226.3862112,0.20,216.73,0.000,0.000000
1759195227.383498,11.70,217.97,0.000,0.000000
1759195228.3861911,2.40,218.11,0.000,0.000000
1759195229.386185,0.30,218.11,0.000,0.000000
1759195230.385775,0.30,218.11,0.000,0.000000
1759195231.385483,0.20,218.11,0.000,0.000000
1759195232.3812249,4.60,219.36,0.000,0.000000
1759195233.379901,4.00,219.61,0.000,0.000000
1759195234.383277,3.80,219.66,0.000,0.000000
1759195235.384223,1.90,219.67,0.000,0.000000
1759195236.3808892,0.30,219.67,0.000,0.000000
1759195237.3773289,0.20,219.67,0.000,0.000000
1759195238.3823092,0.20,219.67,0.000,0.000000
1759195239.383111,5.50,219.77,0.000,0.000000
1759195240.3862028,0.20,219.77,0.000,0.000000
1759195241.386185,1.90,219.84,0.000,0.000000
1759195242.383085,0.20,219.84,0.000,0.000000
1759195243.3806279,0.20,219.84,0.000,0.000000
1759195244.386205,3.30,219.86,0.000,0.000000
1759195245.383445,0.40,219.88,0.000,0.000000
1759195246.38557,2.80,220.67,0.000,0.000000
1759195247.381608,1.80,220.69,0.000,0.000000
1759195248.3862011,0.20,220.69,0.000,0.000000
1759195249.3862028,1.70,220.69,0.000,0.000000
1759195250.383731,2.60,220.72,0.000,0.000000
1759195251.386258,0.30,220.72,0.000,0.000000
1759195252.385969,0.20,220.73,0.000,0.000000
1759195253.3767822,4.10,220.78,0.000,0.000000
1759195254.381311,1.30,220.78,0.000,0.000000
1759195255.386199,2.10,220.84,0.000,0.000000
1759195256.386188,0.20,220.84,0.000,0.000000
1759195257.376362,1.80,220.88,0.000,0.000000
1759195258.38568,0.30,220.88,0.000,0.000000
1759195259.38269,0.20,220.88,0.000,0.000000
1759195260.385039,1.90,220.91,0.000,0.000000
1759195261.377356,3.10,221.02,0.000,0.000000
1759195262.37961,0.20,221.02,0.000,0.000000
1759195263.382547,1.40,221.05,0.000,0.000000
1759195264.3838542,1.80,221.06,0.000,0.000000
1759195265.385613,1.60,221.06,0.000,0.000000
1759195266.377085,0.20,221.06,0.000,0.000000
1759195267.3762949,0.20,221.06,0.000,0.000000
1759195268.3861918,0.20,221.06,0.000,0.000000
1759195269.383605,6.20,221.14,0.000,0.000000
1759195270.383254,0.20,221.14,0.000,0.000000
1759195271.384701,3.90,221.17,0.000,0.000000
1759195272.378091,1.60,221.19,0.000,0.000000
1759195273.3847558,1.80,221.41,0.000,0.000000
1759195274.377019,0.20,221.41,0.000,0.000000
1759195275.3763468,2.00,221.44,0.000,0.000000
1759195276.38598,0.20,221.44,0.000,0.000000
1759195277.3784509,0.20,221.44,0.000,0.000000
1759195278.376908,0.30,221.44,0.000,0.000000
1759195279.3835268,1.30,221.70,0.000,0.000000
1759195280.381582,0.20,221.70,0.000,0.000000
1759195281.381762,1.60,221.70,0.000,0.000000
1759195282.3862,3.60,221.75,0.000,0.000000
1759195283.386229,1.50,221.77,0.000,0.000000
1759195284.386196,1.10,221.81,0.000,0.000000
1759195285.381124,0.30,221.81,0.000,0.000000
1759195286.384342,0.40,221.81,0.000,0.000000
1759195287.380508,0.20,221.81,0.000,0.000000
1759195288.386202,0.20,221.81,0.000,0.000000
1759195289.385203,2.00,221.98,0.000,0.000000
1759195290.3852,5.80,222.20,0.000,0.000000
1759195291.385222,0.20,222.20,0.000,0.000000
1759195292.37784,0.10,222.20,0.000,0.000000
1759195293.376427,1.30,222.20,0.000,0.000000
1759195294.384522,0.10,222.20,0.000,0.000000
1759195295.3834932,0.50,222.20,0.000,0.000000
1759195296.381751,0.20,222.20,0.000,0.000000
1759195297.3842502,3.20,222.55,0.000,0.000000
1759195298.384151,0.10,222.55,0.000,0.000000
1759195299.38259,2.30,222.64,0.000,0.000000
1759195300.381014,1.30,222.64,0.000,0.000000
1759195301.381356,1.60,223.06,0.000,0.000000
1759195302.376213,0.20,223.06,0.000,0.000000
1759195303.38622,0.30,223.08,0.000,0.000000
1759195304.379765,2.50,223.14,0.000,0.000000
1759195305.3862028,0.30,223.14,0.000,0.000000
1759195306.377877,1.90,223.16,0.000,0.000000
1759195307.377596,3.80,223.19,0.000,0.000000
1759195308.378027,0.20,223.19,0.000,0.000000
1759195309.380546,2.80,223.22,0.000,0.000000
1759195310.386215,0.20,223.22,0.000,0.000000
1759195311.386199,0.20,223.22,0.000,0.000000
1759195312.386199,9.30,229.11,0.000,0.000000
1759195313.378471,3.10,227.39,0.000,0.000000
1759195314.3794718,0.10,174.48,0.000,0.000000
1759195315.381203,0.70,171.41,0.000,0.000000
1759195316.377871,0.70,170.02,0.000,0.000000
1759195317.381171,0.90,169.39,0.000,0.000000
1759195318.381192,0.20,169.39,0.000,0.000000
1759195319.381202,1.10,169.39,0.000,0.000000
1759195320.377022,2.80,169.53,0.000,0.000000
1759195321.3811982,2.60,169.56,0.000,0.000000
1759195322.377913,0.10,169.56,0.000,0.000000
1759195323.3801112,4.50,170.47,0.000,0.000000
1759195324.37855,0.20,170.47,0.000,0.000000
1759195325.3811998,1.70,170.48,0.000,0.000000
1759195326.3812191,0.10,170.48,0.000,0.000000
1759195327.3784661,2.90,170.67,0.000,0.000000
1759195328.380537,1.30,170.78,0.000,0.000000
1759195329.379873,0.10,170.78,0.000,0.000000
1759195330.3811991,0.20,170.78,0.000,0.000000
1759195331.3811982,2.80,170.89,0.000,0.000000
1759195332.3803442,0.30,170.89,0.000,0.000000
1759195333.378707,0.20,170.89,0.000,0.000000
1759195334.381221,1.60,170.92,0.000,0.000000
1759195335.3812218,0.20,170.92,0.000,0.000000
1759195336.377501,2.70,171.03,0.000,0.000000
1759195337.381189,1.00,171.03,0.000,0.000000
1759195338.3790588,0.50,171.03,0.000,0.000000
1759195339.381186,0.20,171.03,0.000,0.000000
1759195340.3794649,0.20,171.03,0.000,0.000000
1759195341.381192,1.90,171.14,0.000,0.000000
1759195342.379114,0.10,171.14,0.000,0.000000
1759195343.380223,1.60,171.25,0.000,0.000000
1759195344.381203,1.70,171.31,0.000,0.000000
1759195345.3810308,2.30,171.42,0.000,0.000000
1759195346.3811939,0.10,171.42,0.000,0.000000
1759195347.377653,1.70,171.52,0.000,0.000000
1759195348.3811939,1.30,171.55,0.000,0.000000
1759195349.381075,0.10,171.55,0.000,0.000000
1759195350.377514,0.40,171.55,0.000,0.000000
1759195351.380107,3.10,171.81,0.000,0.000000
1759195352.3762088,2.90,171.98,0.000,0.000000
1759195353.380686,0.10,171.98,0.000,0.000000
1759195354.378397,1.20,172.03,0.000,0.000000
1759195355.376843,0.20,172.03,0.000,0.000000
1759195356.3812218,0.10,172.03,0.000,0.000000
1759195357.377651,0.10,172.03,0.000,0.000000
1759195358.3767009,3.60,172.25,0.000,0.000000
1759195359.3797061,0.20,172.25,0.000,0.000000
1759195360.381191,0.20,172.25,0.000,0.000000
1759195361.378461,1.20,172.28,0.000,0.000000
1759195362.381204,0.10,172.28,0.000,0.000000
1759195363.376964,0.10,172.28,0.000,0.000000
1759195364.3811998,4.60,173.11,0.000,0.000000
1759195365.381175,10.40,183.56,0.000,0.000000
1759195366.3811772,4.40,186.09,0.000,0.000000
1759195367.377035,1.40,186.08,0.000,0.000000
1759195368.378829,0.20,186.08,0.000,0.000000
1759195369.3799412,1.60,186.17,0.000,0.000000
1759195370.376729,0.30,186.17,0.000,0.000000
1759195371.380981,0.10,186.17,0.000,0.000000
1759195372.381239,0.10,186.17,0.000,0.000000
1759195373.3782341,1.50,186.27,0.000,0.000000
1759195374.381202,1.20,186.30,0.000,0.000000
1759195375.3772979,1.80,186.39,0.000,0.000000
1759195376.38121,1.30,186.44,0.000,0.000000
1759195377.377483,3.90,186.55,0.000,0.000000
1759195378.3793678,0.20,186.36,0.000,0.000000
1759195379.381004,0.40,185.62,0.000,0.000000
1759195380.381195,0.20,185.62,0.000,0.000000
1759195381.376309,0.20,185.62,0.000,0.000000
1759195382.3786821,1.90,185.98,0.000,0.000000
1759195383.376349,2.10,186.11,0.000,0.000000
1759195384.379383,0.10,186.11,0.000,0.000000
1759195385.3802938,1.60,186.12,0.000,0.000000
1759195386.3811991,0.20,186.12,0.000,0.000000
1759195387.379843,1.20,186.17,0.000,0.000000
1759195388.381192,1.10,186.22,0.000,0.000000
1759195389.381245,1.60,186.30,0.000,0.000000
1759195390.3775098,0.10,186.30,0.000,0.000000
1759195391.3811982,0.30,186.30,0.000,0.000000
1759195392.377985,0.20,186.30,0.000,0.000000
1759195393.3812008,0.20,186.30,0.000,0.000000
1759195394.3811991,5.20,186.39,0.000,0.000000
