timestamp,worker_id,timezone,workload_factor,latency_ms,status_code,endpoint,hour
1759195982.915617,7,asia,1.000,856.662,200,files,3
1759195982.916419,8,asia,1.000,770.503,200,files,3
1759195984.8584251,7,asia,1.000,147.778,200,files,3
1759195995.318539,2,asia,1.000,12960.488,200,cpu,3
1759195995.318624,3,asia,1.000,13271.170,200,cpu,3
1759195995.318706,1,asia,1.000,13189.592,200,cpu,3
1759195995.318784,4,asia,1.000,13348.238,200,cpu,3
1759195995.318881,5,asia,1.000,13472.088,200,cpu,3
1759195995.318992,6,asia,1.000,13444.726,200,cpu,3
1759195995.32603,0,asia,1.000,13038.951,200,cpu,3
1759195996.4570181,8,asia,1.000,12088.680,200,cpu,3
1759195996.67279,3,asia,1.000,89.152,200,files,3
1759195996.825998,2,asia,1.000,91.207,200,files,3
1759195996.90684,1,asia,1.000,90.190,200,files,3
1759195997.191157,6,asia,1.000,106.672,200,files,3
1759195997.916367,7,asia,1.000,11388.571,200,cpu,3
1759195998.269175,8,asia,1.000,99.973,200,files,3
1759195999.735536,7,asia,1.000,136.867,200,files,3
1759196005.8288891,7,europe,0.050,15.375,200,files,3
1759196005.917834,1,europe,0.050,6.779,200,files,3
1759196006.685388,0,europe,0.050,10.279,200,files,3
1759196006.903831,5,us,0.050,10.430,200,files,3
1759196008.600357,4,asia,1.000,11867.268,200,cpu,3
1759196009.0706282,5,asia,1.000,12025.394,200,cpu,3
1759196009.127594,0,asia,1.000,12050.163,200,cpu,3
1759196010.361912,4,europe,0.050,15.718,200,files,3
1759196010.618228,1,asia,1.000,12468.525,200,cpu,3
1759196010.631073,1,us,0.050,13.753,200,files,3
1759196010.67803,8,us,0.050,9.502,200,files,3
1759196010.800778,3,europe,0.050,12.931,200,cpu,3
1759196010.8177211,0,asia,1.000,131.175,200,files,3
1759196010.896218,3,asia,1.000,12582.232,200,cpu,3
1759196010.939638,2,us,0.050,11.276,200,files,3
1759196010.945308,2,asia,1.000,12550.828,200,cpu,3
1759196011.381629,6,asia,1.000,12604.173,200,cpu,3
1759196011.740885,5,europe,0.050,11.069,200,files,3
1759196012.015584,8,asia,1.000,12429.556,200,cpu,3
1759196012.057183,6,us,0.050,8.934,200,files,3
1759196012.598281,3,asia,1.000,118.617,200,files,3
1759196012.6743412,2,asia,1.000,120.544,200,files,3
1759196013.046357,8,europe,0.050,7.778,200,files,3
1759196013.130833,6,asia,1.000,115.174,200,files,3
1759196013.334777,0,us,0.050,8.110,200,files,3
1759196013.463566,7,asia,1.000,12127.309,200,cpu,3
1759196013.636757,4,us,0.050,8.404,200,files,3
1759196013.666461,3,us,0.050,13.480,200,cpu,3
1759196013.7890549,8,asia,1.000,123.734,200,files,3
1759196014.617897,6,asia,1.000,123.193,200,files,3
1759196014.734197,6,europe,0.050,8.294,200,files,3
1759196014.889298,2,europe,0.050,10.357,200,files,3
1759196015.6480231,7,us,0.050,27.081,200,cpu,3
1759196021.735369,4,asia,1.000,11733.873,200,cpu,3
1759196022.1000068,5,asia,1.000,11727.502,200,cpu,3
1759196024.1733088,1,asia,1.000,12285.023,200,cpu,3
1759196024.295052,0,asia,1.000,12265.134,200,cpu,3
1759196025.666692,1,asia,1.000,159.780,200,files,3
