timestamp,worker_id,phase,latency_ms,status_code,endpoint
1759197924.6942852,1,burst,20016.20,-1,cpu
1759197924.6947289,0,burst,20023.66,-1,cpu
1759197924.694853,5,burst,20016.27,-1,cpu
1759197924.6949341,6,burst,20016.26,-1,cpu
1759197924.695006,7,burst,20016.24,-1,cpu
1759197924.6950772,4,burst,20016.59,-1,cpu
1759197924.695186,3,burst,20016.76,-1,cpu
1759197924.695392,2,burst,20017.13,-1,cpu
1759197925.389872,5,burst,630.11,200,files
1759197944.792865,6,burst,20032.96,-1,cpu
1759197944.838274,2,burst,20074.91,-1,cpu
1759197944.8417878,4,burst,20080.91,-1,cpu
1759197944.843699,1,burst,20087.60,-1,cpu
1759197944.849313,0,burst,20090.11,-1,cpu
1759197944.849439,3,burst,20086.34,-1,cpu
1759197944.849516,7,burst,20088.99,-1,cpu
1759197945.4456,5,burst,20004.24,-1,cpu
1759197945.810583,6,idle,16.46,200,files
1759197945.848662,2,idle,9.22,200,files
1759197945.853912,4,idle,11.76,200,files
1759197945.856949,1,idle,12.86,200,files
1759197945.860432,0,idle,9.29,200,files
1759197945.861838,7,idle,9.62,200,files
1759197945.94208,3,idle,90.30,200,cpu
1759197946.47733,5,idle,30.18,200,files
1759197946.819832,6,idle,8.12,200,files
1759197946.864821,1,idle,7.58,200,files
1759197946.868151,0,idle,7.34,200,files
1759197946.870833,2,idle,21.02,200,cpu
1759197946.872073,7,idle,9.99,200,files
1759197946.877878,4,idle,23.52,200,cpu
1759197946.963679,3,idle,21.44,200,cpu
1759197947.486675,5,idle,7.89,200,files
1759197947.828917,6,idle,7.93,200,files
1759197947.8751209,1,idle,9.15,200,files
1759197947.8765938,0,idle,8.21,200,files
1759197947.8774889,2,idle,6.38,200,files
1759197947.8817332,7,idle,9.27,200,files
1759197947.912815,4,idle,34.80,200,cpu
1759197947.984582,3,idle,19.94,200,files
1759197948.496653,5,idle,8.92,200,files
1759197948.838668,6,idle,8.61,200,files
1759197948.884427,1,idle,8.16,200,files
1759197948.885969,2,idle,7.21,200,files
1759197948.886229,0,idle,8.66,200,files
1759197948.8897438,7,idle,7.67,200,files
1759197948.9444008,4,idle,29.13,200,cpu
1759197948.99564,3,idle,9.80,200,files
1759197949.505729,5,idle,7.92,200,files
1759197949.848514,6,idle,9.51,200,files
1759197949.896327,1,idle,11.24,200,files
1759197949.897388,0,idle,9.86,200,files
1759197949.9115489,2,idle,24.69,200,cpu
1759197949.914315,7,idle,24.22,200,cpu
1759197949.9539351,4,idle,8.37,200,files
1759197950.0072682,3,idle,11.09,200,files
1759197950.517047,5,idle,10.15,200,files
1759197951.02377,5,burst,455.54,200,files
1759197969.901603,6,burst,20002.99,-1,cpu
1759197969.950221,1,burst,20003.42,-1,cpu
1759197969.950331,0,burst,20002.78,-1,cpu
1759197969.965237,2,burst,20002.96,-1,cpu
1759197969.9663339,7,burst,20001.93,-1,cpu
1759197970.009388,4,burst,20004.78,-1,cpu
1759197970.062565,3,burst,20003.41,-1,cpu
1759197970.593663,6,burst,641.74,200,files
1759197971.078059,5,burst,20003.24,-1,cpu
1759197990.007204,0,burst,20006.37,-1,cpu
1759197990.007328,1,burst,20006.97,-1,cpu
1759197990.022614,2,burst,20007.10,-1,cpu
1759197990.022732,7,burst,20006.21,-1,cpu
1759197990.0651982,4,burst,20005.12,-1,cpu
1759197990.118747,3,burst,20005.15,-1,cpu
1759197990.6477041,6,burst,20003.00,-1,cpu
1759197991.018038,1,idle,9.98,200,files
1759197991.0292249,2,idle,5.93,200,files
1759197991.032695,0,idle,25.12,200,cpu
1759197991.032916,7,idle,9.23,200,files
1759197991.075496,4,idle,9.11,200,files
1759197991.1293252,3,idle,9.64,200,files
1759197991.136105,5,burst,20006.91,-1,cpu
1759197991.659382,6,idle,10.49,200,files
1759197992.030945,1,idle,11.75,200,files
1759197992.038423,2,idle,8.28,200,files
1759197992.041162,0,idle,8.16,200,files
1759197992.042101,7,idle,8.32,200,files
1759197992.0979352,4,idle,21.72,200,cpu
1759197992.139037,3,idle,9.41,200,files
1759197992.1512058,5,idle,14.55,200,files
1759197992.684308,6,idle,23.70,200,cpu
1759197993.041266,1,idle,9.41,200,files
1759197993.046357,2,idle,7.14,200,files
1759197993.048811,7,idle,6.49,200,files
1759197993.059809,0,idle,18.24,200,cpu
1759197993.112997,4,idle,13.87,200,files
1759197993.1527,3,idle,12.43,200,files
1759197993.162478,5,idle,9.38,200,files
1759197993.692409,6,idle,7.51,200,files
1759197994.0537112,1,idle,11.24,200,files
1759197994.055635,2,idle,8.57,200,files
1759197994.057364,7,idle,8.40,200,files
1759197994.067245,0,idle,7.17,200,files
1759197994.125213,4,idle,10.91,200,files
1759197994.165292,3,idle,10.67,200,files
1759197994.17101,5,idle,7.91,200,files
1759197994.702816,6,idle,9.24,200,files
1759197995.068702,1,idle,13.79,200,files
1759197995.07642,0,idle,7.67,200,files
1759197995.079618,2,idle,23.61,200,cpu
1759197995.093278,7,idle,31.81,200,cpu
1759197995.131549,4,idle,6.19,200,files
1759197995.1821032,3,idle,15.65,200,files
1759197995.182268,5,idle,10.94,200,files
1759198014.758986,6,burst,20005.01,-1,cpu
1759198015.127294,1,burst,20006.37,-1,cpu
1759198015.1282098,0,burst,20001.84,-1,cpu
1759198015.1345038,2,burst,20004.77,-1,cpu
1759198015.147365,7,burst,20003.02,-1,cpu
1759198015.186306,4,burst,20003.98,-1,cpu
1759198015.241802,3,burst,20008.73,-1,cpu
1759198015.244311,5,burst,20009.16,-1,cpu
1759198016.4362822,7,burst,1238.27,200,files
1759198034.8153942,6,burst,20005.28,-1,cpu
1759198035.1856482,1,burst,20007.27,-1,cpu
1759198035.1857789,0,burst,20006.80,-1,cpu
1759198035.1953459,2,burst,20010.76,-1,cpu
1759198035.244815,4,burst,20008.35,-1,cpu
1759198035.300736,3,burst,20008.69,-1,cpu
1759198035.3014138,5,burst,20006.84,-1,cpu
1759198035.830258,6,idle,13.58,200,files
1759198036.1974568,1,idle,10.92,200,files
1759198036.200858,0,idle,13.75,200,files
1759198036.20691,2,idle,10.19,200,files
1759198036.253675,4,idle,7.63,200,files
1759198036.317517,3,idle,14.80,200,files
1759198036.318753,5,idle,14.36,200,files
1759198036.492924,7,burst,20005.51,-1,cpu
1759198036.839966,6,idle,8.91,200,files
1759198037.2051551,1,idle,6.49,200,files
1759198037.206322,0,idle,5.24,200,files
1759198037.2142332,2,idle,7.18,200,files
1759198037.278559,4,idle,23.75,200,cpu
1759198037.3313751,3,idle,11.72,200,files
1759198037.4297652,5,idle,108.95,200,cpu
1759198037.505023,7,idle,10.56,200,files
1759198037.853309,6,idle,11.95,200,files
1759198038.216873,0,idle,9.60,200,files
1759198038.2235389,2,idle,9.03,200,files
1759198038.230797,1,idle,24.34,200,cpu
1759198038.2925398,4,idle,12.76,200,files
1759198038.345919,3,idle,12.49,200,files
1759198038.461845,5,idle,31.20,200,cpu
1759198038.516896,7,idle,10.52,200,files
1759198038.8630688,6,idle,8.50,200,files
1759198039.226926,0,idle,8.86,200,files
1759198039.230071,2,idle,5.91,200,files
1759198039.255084,1,idle,24.10,200,cpu
1759198039.320983,4,idle,27.07,200,cpu
1759198039.357472,3,idle,10.94,200,files
1759198039.4750211,5,idle,12.34,200,files
1759198039.5312,7,idle,13.12,200,files
1759198039.893146,6,idle,28.62,200,cpu
1759198040.236871,2,idle,6.56,200,files
1759198040.246803,0,idle,18.77,200,cpu
1759198040.261397,1,idle,5.08,200,files
1759198040.352741,4,idle,31.20,200,cpu
1759198040.363588,3,idle,6.02,200,files
1759198040.5013068,5,idle,25.80,200,cpu
1759198040.6231308,7,idle,91.69,200,cpu
1759198042.0027661,1,burst,1689.58,200,files
1759198059.948243,6,burst,20003.82,-1,cpu
1759198060.2940521,2,burst,20005.98,-1,cpu
1759198060.301328,0,burst,20003.07,-1,cpu
1759198060.406442,4,burst,20002.67,-1,cpu
1759198060.423868,3,burst,20008.86,-1,cpu
1759198060.6305048,5,burst,20046.46,-1,cpu
1759198060.722856,7,burst,20007.06,-1,cpu
1759198062.058275,1,burst,20003.64,-1,cpu
1759198062.418672,3,burst,1942.20,200,files
1759198080.004544,6,burst,20005.26,-1,cpu
1759198080.3499148,2,burst,20004.82,-1,cpu
1759198080.356288,0,burst,20004.48,-1,cpu
1759198080.464975,4,burst,20008.29,-1,cpu
1759198080.687246,5,burst,20005.72,-1,cpu
1759198080.7847638,7,burst,20009.73,-1,cpu
1759198081.115854,6,idle,110.55,200,files
1759198081.358667,2,idle,7.53,200,files
1759198081.366186,0,idle,9.37,200,files
1759198081.477036,4,idle,9.69,200,files
1759198081.7024488,5,idle,13.34,200,files
1759198081.7952151,7,idle,9.29,200,files
1759198082.114796,1,burst,20006.30,-1,cpu
1759198082.125976,6,idle,9.75,200,files
1759198082.369146,2,idle,9.31,200,files
1759198082.3786051,0,idle,11.11,200,files
1759198082.4892092,4,idle,11.34,200,files
1759198082.5362802,3,burst,20065.84,-1,cpu
1759198082.71418,5,idle,10.49,200,files
1759198082.807418,7,idle,10.80,200,files
1759198083.1229608,1,idle,8.01,200,files
1759198083.133122,6,idle,6.65,200,files
1759198083.378794,2,idle,8.46,200,files
1759198083.401928,0,idle,22.91,200,cpu
1759198083.502028,4,idle,10.99,200,files
1759198083.549763,3,idle,10.71,200,files
1759198083.740352,5,idle,25.24,200,cpu
1759198083.822853,7,idle,13.20,200,files
1759198084.133057,1,idle,8.95,200,files
1759198084.143088,6,idle,9.77,200,files
1759198084.4073448,2,idle,25.94,200,files
1759198084.4222841,0,idle,14.52,200,files
1759198084.531361,4,idle,27.57,200,cpu
1759198084.56247,3,idle,11.52,200,files
1759198084.7673368,5,idle,25.50,200,cpu
1759198084.834591,7,idle,9.88,200,files
1759198085.1528618,6,idle,9.02,200,files
1759198085.160167,1,idle,25.11,200,cpu
1759198085.4285052,2,idle,20.22,200,files
1759198085.4419851,0,idle,11.64,200,files
1759198085.544204,4,idle,10.84,200,files
1759198085.590689,3,idle,26.53,200,cpu
