ts,cpu_percent,rss_mb,power_w,energy_j_total
1759197686.21211,102.00,144.50,0.000,0.000000
1759197687.212106,88.30,153.88,0.000,0.000000
1759197688.2121081,170.70,160.89,0.000,0.000000
1759197689.2182982,677.70,160.91,0.000,0.000000
1759197690.212111,575.00,160.91,0.000,0.000000
1759197691.208977,686.50,160.91,0.000,0.000000
1759197692.212131,652.90,160.91,0.000,0.000000
1759197693.209156,735.80,160.91,0.000,0.000000
1759197694.209971,736.10,160.91,0.000,0.000000
1759197695.219157,701.00,160.91,0.000,0.000000
1759197696.211495,677.20,160.91,0.000,0.000000
1759197697.211089,540.70,160.91,0.000,0.000000
1759197698.212141,636.60,160.66,0.000,0.000000
1759197699.2157068,707.80,160.66,0.000,0.000000
1759197700.2145889,695.90,160.66,0.000,0.000000
1759197701.208599,694.80,160.66,0.000,0.000000
1759197702.211514,691.00,160.66,0.000,0.000000
1759197703.212132,719.00,160.66,0.000,0.000000
1759197704.2127318,680.80,160.31,0.000,0.000000
1759197705.212127,643.90,159.89,0.000,0.000000
1759197706.215049,696.20,159.89,0.000,0.000000
1759197707.2104151,723.50,159.89,0.000,0.000000
1759197708.210925,699.00,161.17,0.000,0.000000
1759197709.208333,619.30,161.17,0.000,0.000000
1759197710.2121139,485.20,161.17,0.000,0.000000
1759197711.211088,683.70,159.94,0.000,0.000000
1759197712.209054,732.70,159.94,0.000,0.000000
1759197713.212128,740.30,159.94,0.000,0.000000
1759197714.211702,705.80,159.94,0.000,0.000000
1759197715.211703,660.60,159.94,0.000,0.000000
1759197716.210655,438.20,158.02,0.000,0.000000
1759197717.210508,625.10,156.69,0.000,0.000000
1759197718.2134578,704.80,156.69,0.000,0.000000
1759197719.212117,642.60,156.69,0.000,0.000000
1759197720.210309,715.70,156.69,0.000,0.000000
1759197721.2121139,719.20,156.69,0.000,0.000000
1759197722.210929,717.80,156.69,0.000,0.000000
1759197723.2095191,730.90,156.69,0.000,0.000000
1759197724.2108579,564.00,156.69,0.000,0.000000
1759197725.2079492,584.10,156.69,0.000,0.000000
1759197726.208242,743.90,156.69,0.000,0.000000
1759197727.2090418,724.90,156.69,0.000,0.000000
1759197728.207416,706.40,156.69,0.000,0.000000
1759197729.212113,723.60,160.81,0.000,0.000000
1759197730.2102451,722.90,161.56,0.000,0.000000
1759197731.212113,703.60,161.75,0.000,0.000000
1759197732.2111008,685.00,161.75,0.000,0.000000
1759197733.208074,711.00,170.41,0.000,0.000000
1759197734.208747,731.30,174.27,0.000,0.000000
1759197735.211209,701.60,174.27,0.000,0.000000
1759197736.212119,736.50,174.27,0.000,0.000000
1759197737.2121239,725.80,174.27,0.000,0.000000
