country,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
Germany,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.08,0.12,0.18,0.35,0.50,0.65,0.75,0.85,0.90,0.95,1.00,1.00,0.95,0.90,0.85,0.80,0.70,0.20,0.20,0.70,0.70,0.70,0.65,0.60,0.55,0.45,0.35,0.25,0.20,0.15,0.12,0.10,0.08,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05
France,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.08,0.12,0.18,0.32,0.45,0.60,0.70,0.80,0.90,0.95,1.00,1.00,0.95,0.90,0.85,0.80,0.70,0.20,0.20,0.65,0.70,0.70,0.65,0.60,0.55,0.45,0.35,0.25,0.20,0.15,0.12,0.10,0.08,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05
Netherlands,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.08,0.12,0.18,0.35,0.48,0.62,0.72,0.82,0.90,0.95,1.00,1.00,0.95,0.88,0.82,0.78,0.70,0.20,0.20,0.65,0.70,0.70,0.65,0.58,0.52,0.42,0.32,0.24,0.18,0.14,0.11,0.09,0.08,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05
United Kingdom,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.08,0.12,0.18,0.30,0.42,0.58,0.70,0.80,0.88,0.94,1.00,1.00,0.95,0.88,0.82,0.78,0.70,0.20,0.20,0.65,0.70,0.68,0.63,0.56,0.50,0.40,0.30,0.22,0.18,0.14,0.11,0.09,0.08,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05
United States (Eastern),0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.08,0.12,0.18,0.28,0.40,0.55,0.68,0.78,0.86,0.92,0.98,1.00,1.00,0.96,0.90,0.85,0.78,0.25,0.22,0.70,0.75,0.75,0.70,0.65,0.60,0.55,0.48,0.40,0.34,0.28,0.24,0.20,0.16,0.12,0.10,0.08,0.07,0.06,0.05,0.05,0.05
United States (Pacific),0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.08,0.12,0.18,0.25,0.36,0.50,0.62,0.72,0.82,0.90,0.96,1.00,1.00,0.98,0.92,0.86,0.80,0.25,0.22,0.70,0.75,0.75,0.72,0.68,0.62,0.58,0.52,0.45,0.40,0.34,0.28,0.22,0.18,0.14,0.12,0.10,0.08,0.06,0.05,0.05,0.05
Japan,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.08,0.12,0.18,0.28,0.40,0.55,0.70,0.82,0.90,0.95,1.00,1.00,0.98,0.96,0.94,0.92,0.88,0.30,0.28,0.85,0.90,0.95,0.95,0.92,0.88,0.82,0.75,0.68,0.60,0.50,0.40,0.32,0.26,0.20,0.16,0.12,0.10,0.08,0.07,0.06,0.05
South Korea,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.08,0.12,0.18,0.28,0.40,0.55,0.70,0.82,0.90,0.95,1.00,1.00,0.98,0.96,0.94,0.92,0.88,0.30,0.28,0.82,0.88,0.92,0.92,0.90,0.86,0.80,0.72,0.64,0.56,0.46,0.38,0.30,0.24,0.18,0.14,0.11,0.09,0.08,0.07,0.06,0.05
China,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.08,0.12,0.18,0.28,0.40,0.55,0.70,0.80,0.88,0.94,1.00,1.00,0.98,0.96,0.94,0.92,0.88,0.30,0.28,0.82,0.88,0.92,0.92,0.90,0.86,0.80,0.72,0.64,0.56,0.46,0.38,0.30,0.24,0.18,0.14,0.11,0.09,0.08,0.07,0.06,0.05
India,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.08,0.12,0.18,0.25,0.36,0.50,0.62,0.72,0.82,0.90,0.96,1.00,1.00,0.98,0.96,0.94,0.90,0.30,0.28,0.80,0.85,0.90,0.90,0.88,0.84,0.78,0.70,0.62,0.54,0.44,0.36,0.28,0.22,0.18,0.14,0.11,0.09,0.08,0.07,0.06,0.05
Hong Kong,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.08,0.12,0.18,0.28,0.40,0.55,0.70,0.82,0.90,0.95,1.00,1.00,0.98,0.96,0.94,0.92,0.88,0.30,0.28,0.85,0.90,0.95,0.95,0.92,0.88,0.82,0.75,0.68,0.60,0.50,0.40,0.32,0.26,0.20,0.16,0.12,0.10,0.08,0.07,0.06,0.05
